# x        y
10.4852    10.6928   

# Frame1

# x        y
12.0821    9.4977    

# Frame2

# x        y
4.7097     4.0067    

# Frame3

# x        y
10.4851    10.6929   

# Frame4

# x        y
12.0821    9.4977    

# Frame5

# x        y
4.6550     6.0059    

# Frame6

# x        y
10.4851    10.6929   

# Frame7

# x        y
12.0822    9.4977    

# Frame8

# x        y
4.6012     7.9718    

# Frame9

# x        y
10.4851    10.6929   

# Frame10

# x        y
12.0822    9.4977    

# Frame11

# x        y
4.5483     9.9050    

# Frame12

# x        y
10.4851    10.6929   

# Frame13

# x        y
12.0822    9.4977    

# Frame14

# x        y
4.4963     11.8060   

# Frame15

# x        y
10.4851    10.6929   

# Frame16

# x        y
12.0822    9.4977    

# Frame17

# x        y
4.4452     13.6752   

# Frame18

# x        y
10.4851    10.6929   

# Frame19

# x        y
12.0822    9.4977    

# Frame20

# x        y
5.5793     14.3961   

# Frame21

# x        y
10.4850    10.6929   

# Frame22

# x        y
12.0822    9.4976    

# Frame23

# x        y
6.9635     14.8519   

# Frame24

# x        y
10.4850    10.6929   

# Frame25

# x        y
12.0822    9.4976    

# Frame26

# x        y
8.3066     14.8481   

# Frame27

# x        y
10.4850    10.6929   

# Frame28

# x        y
12.0822    9.4976    

# Frame29

# x        y
9.6181     14.6278   

# Frame30

# x        y
10.4850    10.6929   

# Frame31

# x        y
12.0822    9.4976    

# Frame32

# x        y
10.9078    14.4111   

# Frame33

# x        y
10.4850    10.6929   

# Frame34

# x        y
12.0822    9.4976    

# Frame35

# x        y
11.8942    13.6563   

# Frame36

# x        y
10.4850    10.6929   

# Frame37

# x        y
12.0822    9.4976    

# Frame38

# x        y
12.6818    12.7198   

# Frame39

# x        y
10.4850    10.6930   

# Frame40

# x        y
12.0822    9.4976    

# Frame41

# x        y
13.4562    11.7989   

# Frame42

# x        y
10.4850    10.6930   

# Frame43

# x        y
12.0823    9.4976    

# Frame44

# x        y
14.2177    10.8933   

# Frame45

# x        y
10.4850    10.6930   

# Frame46

# x        y
12.0823    9.4976    

# Frame47

# x        y
14.8628    9.9482    

# Frame48

# x        y
10.4850    10.6930   

# Frame49

# x        y
12.0823    9.4976    

# Frame50

# x        y
14.8752    8.8730    

# Frame51

# x        y
10.4850    10.6930   

# Frame52

# x        y
12.0823    9.4976    

# Frame53

# x        y
14.6873    7.8085    

# Frame54

# x        y
10.4850    10.6930   

# Frame55

# x        y
12.0823    9.4976    

# Frame56

# x        y
14.5025    6.7617    

# Frame57

# x        y
10.4850    10.6930   

# Frame58

# x        y
12.0823    9.4976    

# Frame59

# x        y
14.3208    5.7323    

# Frame60

# x        y
10.4850    10.6930   

# Frame61

# x        y
12.0823    9.4976    

# Frame62

# x        y
14.1422    4.7202    

# Frame63

# x        y
10.4850    10.6930   

# Frame64

# x        y
12.0823    9.4976    

# Frame65

# x        y
13.4416    4.1871    

# Frame66

# x        y
10.4850    10.6930   

# Frame67

# x        y
12.0823    9.4976    

# Frame68

# x        y
12.6255    3.7739    

# Frame69

# x        y
10.4850    10.6930   

# Frame70

# x        y
12.0823    9.4976    

# Frame71

# x        y
11.8229    3.3677    

# Frame72

# x        y
10.4850    10.6930   

# Frame73

# x        y
12.0823    9.4976    

# Frame74

# x        y
11.0338    2.9682    

# Frame75

# x        y
10.4850    10.6930   

# Frame76

# x        y
12.0823    9.4976    

# Frame77

# x        y
10.2578    2.5753    

# Frame78

# x        y
10.4850    10.6930   

# Frame79

# x        y
12.0823    9.4976    

# Frame80

# x        y
9.4947     2.1890    

# Frame81

# x        y
10.4850    10.6930   

# Frame82

# x        y
12.0823    9.4976    

# Frame83

# x        y
8.7443     1.8092    

# Frame84

# x        y
10.4850    10.6930   

# Frame85

# x        y
12.0823    9.4976    

# Frame86

# x        y
8.0065     1.4357    

# Frame87

# x        y
10.4850    10.6930   

# Frame88

# x        y
12.0823    9.4976    

# Frame89

# x        y
7.2809     1.0684    

# Frame90

# x        y
10.4850    10.6930   

# Frame91

# x        y
12.0823    9.4976    

# Frame92

# x        y
6.5551     1.1488    

# Frame93

# x        y
10.4850    10.6930   

# Frame94

# x        y
12.0823    9.4976    

# Frame95

# x        y
5.8382     1.3263    

# Frame96

# x        y
10.4850    10.6930   

# Frame97

# x        y
12.0823    9.4976    

# Frame98

# x        y
5.1649     1.5634    

# Frame99

# x        y
10.4850    10.6930   

# Frame100

# x        y
12.0823    9.4976    

# Frame101

# x        y
4.5778     1.9444    

# Frame102

# x        y
10.4850    10.6930   

# Frame103

# x        y
12.0823    9.4976    

# Frame104

# x        y
4.0720     2.3929    

# Frame105

# x        y
10.4850    10.6930   

# Frame106

# x        y
12.0823    9.4976    

# Frame107

# x        y
3.6513     2.9133    

# Frame108

# x        y
10.4850    10.6930   

# Frame109

# x        y
12.0823    9.4976    

# Frame110

# x        y
3.2375     3.4250    

# Frame111

# x        y
10.4850    10.6930   

# Frame112

# x        y
12.0823    9.4976    

# Frame113

# x        y
2.8307     3.9282    

# Frame114

# x        y
10.4850    10.6930   

# Frame115

# x        y
12.0823    9.4976    

# Frame116

# x        y
2.4306     4.4231    

# Frame117

# x        y
10.4850    10.6930   

# Frame118

# x        y
12.0823    9.4976    

# Frame119

# x        y
2.0372     4.9096    

# Frame120

# x        y
10.4850    10.6930   

# Frame121

# x        y
12.0823    9.4976    

# Frame122

# x        y
1.6504     5.3881    

# Frame123

# x        y
10.4850    10.6930   

# Frame124

# x        y
12.0823    9.4976    

# Frame125

# x        y
1.2700     5.8586    

# Frame126

# x        y
10.4850    10.6930   

# Frame127

# x        y
12.0823    9.4976    

# Frame128

# x        y
1.0170     6.3615    

# Frame129

# x        y
10.4850    10.6930   

# Frame130

# x        y
12.0823    9.4976    

# Frame131

# x        y
1.1174     6.9147    

# Frame132

# x        y
10.4850    10.6930   

# Frame133

# x        y
12.0823    9.4976    

# Frame134

# x        y
1.2162     7.4586    

# Frame135

# x        y
10.4850    10.6930   

# Frame136

# x        y
12.0823    9.4976    

# Frame137

# x        y
1.3134     7.9935    

# Frame138

# x        y
10.4850    10.6930   

# Frame139

# x        y
12.0823    9.4976    

# Frame140

# x        y
1.4089     8.5195    

# Frame141

# x        y
10.4850    10.6930   

# Frame142

# x        y
12.0823    9.4976    

# Frame143

# x        y
1.5028     9.0367    

# Frame144

# x        y
10.4850    10.6930   

# Frame145

# x        y
12.0823    9.4976    

# Frame146

# x        y
1.5952     9.5452    

# Frame147

# x        y
10.4850    10.6930   

# Frame148

# x        y
12.0823    9.4976    

# Frame149

# x        y
1.6860     10.0453   

# Frame150

# x        y
10.4850    10.6930   

# Frame151

# x        y
12.0823    9.4976    

# Frame152

# x        y
1.7753     10.5371   

# Frame153

# x        y
10.4850    10.6930   

# Frame154

# x        y
12.0823    9.4976    

# Frame155

# x        y
1.8632     11.0207   

# Frame156

# x        y
10.4850    10.6930   

# Frame157

# x        y
12.0823    9.4976    

# Frame158

# x        y
1.9495     11.4962   

# Frame159

# x        y
10.4850    10.6930   

# Frame160

# x        y
12.0823    9.4976    

# Frame161

# x        y
2.3094     11.7208   

# Frame162

# x        y
10.4850    10.6930   

# Frame163

# x        y
12.0823    9.4976    

# Frame164

# x        y
2.6930     11.9162   

# Frame165

# x        y
10.4850    10.6930   

# Frame166

# x        y
12.0823    9.4976    

# Frame167

# x        y
3.0702     12.1084   

# Frame168

# x        y
10.4850    10.6930   

# Frame169

# x        y
12.0823    9.4976    

# Frame170

# x        y
3.4411     12.2974   

# Frame171

# x        y
10.4850    10.6930   

# Frame172

# x        y
12.0823    9.4976    

# Frame173

# x        y
3.8058     12.4832   

# Frame174

# x        y
10.4850    10.6930   

# Frame175

# x        y
12.0823    9.4976    

# Frame176

# x        y
4.1645     12.6660   

# Frame177

# x        y
10.4850    10.6930   

# Frame178

# x        y
12.0823    9.4976    

# Frame179

# x        y
4.5171     12.8457   

# Frame180

# x        y
10.4850    10.6930   

# Frame181

# x        y
12.0823    9.4976    

# Frame182

# x        y
4.8639     13.0223   

# Frame183

# x        y
10.4850    10.6930   

# Frame184

# x        y
12.0823    9.4976    

# Frame185

# x        y
5.2049     13.1961   

# Frame186

# x        y
10.4850    10.6930   

# Frame187

# x        y
12.0823    9.4976    

# Frame188

# x        y
5.5403     13.3670   

# Frame189

# x        y
10.4850    10.6930   

# Frame190

# x        y
12.0823    9.4976    

# Frame191

# x        y
5.8700     13.5350   

# Frame192

# x        y
10.4850    10.6930   

# Frame193

# x        y
12.0823    9.4976    

# Frame194

# x        y
6.1943     13.7002   

# Frame195

# x        y
10.4850    10.6930   

# Frame196

# x        y
12.0823    9.4976    

# Frame197

# x        y
6.5131     13.8626   

# Frame198

# x        y
10.4850    10.6930   

# Frame199

# x        y
12.0823    9.4976    

# Frame200

# x        y
6.8266     14.0224   

# Frame201

# x        y
10.4850    10.6930   

# Frame202

# x        y
12.0823    9.4976    

# Frame203

# x        y
7.1349     14.1795   

# Frame204

# x        y
10.4850    10.6930   

# Frame205

# x        y
12.0823    9.4976    

# Frame206

# x        y
7.4381     14.3339   

# Frame207

# x        y
10.4850    10.6930   

# Frame208

# x        y
12.0823    9.4976    

# Frame209

# x        y
7.7362     14.4858   

# Frame210

# x        y
10.4850    10.6930   

# Frame211

# x        y
12.0823    9.4976    

# Frame212

# x        y
8.0293     14.6352   

# Frame213

# x        y
10.4850    10.6930   

# Frame214

# x        y
12.0823    9.4976    

# Frame215

# x        y
8.3176     14.7821   

# Frame216

# x        y
10.4850    10.6930   

# Frame217

# x        y
