# x        y
3.1219     7.6230    

# Frame1

# x        y
3.5336     9.5926    

# Frame2

# x        y
3.4132     11.5837   

# Frame3

# x        y
3.2500     6.2591    

# Frame4

# x        y
3.9573     9.0341    

# Frame5

# x        y
3.4132     11.5837   

# Frame6

# x        y
3.3789     4.9015    

# Frame7

# x        y
4.3709     8.5013    

# Frame8

# x        y
3.4132     11.5837   

# Frame9

# x        y
3.5056     3.5666    

# Frame10

# x        y
4.7777     7.9774    

# Frame11

# x        y
3.4132     11.5837   

# Frame12

# x        y
4.0064     2.6761    

# Frame13

# x        y
5.1777     7.4622    

# Frame14

# x        y
3.4132     11.5837   

# Frame15

# x        y
4.9537     2.3130    

# Frame16

# x        y
5.5710     6.9556    

# Frame17

# x        y
3.4132     11.5837   

# Frame18

# x        y
5.8852     1.9559    

# Frame19

# x        y
5.9577     6.4575    

# Frame20

# x        y
3.4132     11.5837   

# Frame21

# x        y
6.8011     1.6047    

# Frame22

# x        y
6.3380     5.9676    

# Frame23

# x        y
3.4132     11.5837   

# Frame24

# x        y
7.7018     1.2594    

# Frame25

# x        y
6.7120     5.4859    

# Frame26

# x        y
3.4132     11.5837   

# Frame27

# x        y
8.5861     1.0424    

# Frame28

# x        y
7.0797     5.0123    

# Frame29

# x        y
3.4132     11.5837   

# Frame30

# x        y
9.4506     1.2093    

# Frame31

# x        y
7.4414     4.5465    

# Frame32

# x        y
3.4132     11.5837   

# Frame33

# x        y
10.3008    1.3735    

# Frame34

# x        y
7.7969     4.0885    

# Frame35

# x        y
3.4132     11.5837   

# Frame36

# x        y
11.0475    1.7202    

# Frame37

# x        y
8.1466     3.6382    

# Frame38

# x        y
3.4132     11.5837   

# Frame39

# x        y
11.7229    2.1840    

# Frame40

# x        y
8.4904     3.1953    

# Frame41

# x        y
3.4132     11.5837   

# Frame42

# x        y
12.2656    2.7637    

# Frame43

# x        y
8.8285     2.7598    

# Frame44

# x        y
3.4132     11.5837   

# Frame45

# x        y
12.7666    3.3670    

# Frame46

# x        y
9.1610     2.3316    

# Frame47

# x        y
3.4132     11.5837   

# Frame48

# x        y
13.2593    3.9602    

# Frame49

# x        y
9.4879     1.9105    

# Frame50

# x        y
3.4132     11.5837   

# Frame51

# x        y
13.7437    4.5436    

# Frame52

# x        y
9.8094     1.4964    

# Frame53

# x        y
3.4132     11.5837   

# Frame54

# x        y
14.2201    5.1172    

# Frame55

# x        y
10.0400    1.1864    

# Frame56

# x        y
3.4132     11.5837   

# Frame57

# x        y
14.6886    5.6813    

# Frame58

# x        y
9.8262     1.3574    

# Frame59

# x        y
3.4132     11.5837   

# Frame60

# x        y
14.9703    6.3300    

# Frame61

# x        y
9.6160     1.5256    

# Frame62

# x        y
3.4132     11.5837   

# Frame63

# x        y
14.8935    6.9989    

# Frame64

# x        y
9.4093     1.6910    

# Frame65

# x        y
3.4132     11.5837   

# Frame66

# x        y
14.7760    7.6584    

# Frame67

# x        y
9.2061     1.8536    

# Frame68

# x        y
3.4132     11.5837   

# Frame69

# x        y
14.6605    8.3069    

# Frame70

# x        y
9.0062     2.0135    

# Frame71

# x        y
3.4132     11.5837   

# Frame72

# x        y
14.5469    8.9446    

# Frame73

# x        y
8.8097     2.1707    

# Frame74

# x        y
3.4132     11.5837   

# Frame75

# x        y
14.4352    9.5717    

# Frame76

# x        y
8.6164     2.3253    

# Frame77

# x        y
3.4132     11.5837   

# Frame78

# x        y
14.3253    10.1883   

# Frame79

# x        y
8.4264     2.4774    

# Frame80

# x        y
3.4132     11.5837   

# Frame81

# x        y
14.2173    10.7947   

# Frame82

# x        y
8.2395     2.6269    

# Frame83

# x        y
3.4132     11.5837   

# Frame84

# x        y
14.1111    11.3909   

# Frame85

# x        y
8.0558     2.7739    

# Frame86

# x        y
3.4132     11.5837   

# Frame87

# x        y
13.6880    11.6961   

# Frame88

# x        y
7.8751     2.9185    

# Frame89

# x        y
3.4132     11.5837   

# Frame90

# x        y
13.2071    11.9401   

# Frame91

# x        y
7.6974     3.0606    

# Frame92

# x        y
3.4132     11.5837   

# Frame93

# x        y
12.7343    12.1800   

# Frame94

# x        y
7.5227     3.2004    

# Frame95

# x        y
3.4132     11.5837   

# Frame96

# x        y
12.2693    12.4158   

# Frame97

# x        y
7.3509     3.3379    

# Frame98

# x        y
3.4132     11.5837   

# Frame99

# x        y
11.8121    12.6478   

# Frame100

# x        y
7.1819     3.4730    

# Frame101

# x        y
3.4132     11.5837   

# Frame102

# x        y
11.3625    12.8758   

# Frame103

# x        y
7.0158     3.6059    

# Frame104

# x        y
3.4132     11.5837   

# Frame105

# x        y
10.9204    13.1001   

# Frame106

# x        y
6.8524     3.7366    

# Frame107

# x        y
3.4132     11.5837   

# Frame108

# x        y
10.4857    13.3207   

# Frame109

# x        y
6.6918     3.8652    

# Frame110

# x        y
3.4132     11.5837   

# Frame111

# x        y
10.0582    13.5375   

# Frame112

# x        y
6.5338     3.9915    

# Frame113

# x        y
3.4132     11.5837   

# Frame114

# x        y
9.6379     13.7508   

# Frame115

# x        y
6.3785     4.1158    

# Frame116

# x        y
3.4132     11.5837   

# Frame117

# x        y
9.2245     13.9605   

# Frame118

# x        y
6.2258     4.2380    

# Frame119

# x        y
3.4132     11.5837   

# Frame120

# x        y
8.8181     14.1666   

# Frame121

# x        y
6.0756     4.3582    

# Frame122

# x        y
3.4132     11.5837   

# Frame123

# x        y
8.4184     14.3694   

# Frame124

# x        y
5.9279     4.4763    

# Frame125

# x        y
3.4132     11.5837   

# Frame126

# x        y
8.0254     14.5688   

# Frame127

# x        y
5.7827     4.5925    

# Frame128

# x        y
3.4132     11.5837   

# Frame129

# x        y
7.6389     14.7648   

# Frame130

# x        y
5.6399     4.7068    

# Frame131

# x        y
3.4132     11.5837   

# Frame132

# x        y
7.2589     14.9576   

# Frame133

# x        y
5.4994     4.8191    

# Frame134

# x        y
3.4132     11.5837   

# Frame135

# x        y
6.8790     14.9245   

# Frame136

# x        y
5.3613     4.9296    

# Frame137

# x        y
3.4132     11.5837   

# Frame138

# x        y
6.5034     14.8313   

# Frame139

# x        y
5.2256     5.0382    

# Frame140

# x        y
3.4132     11.5837   

# Frame141

# x        y
6.1341     14.7397   

# Frame142

# x        y
5.0920     5.1450    

# Frame143

# x        y
3.4132     11.5837   

# Frame144

# x        y
5.7710     14.6495   

# Frame145

# x        y
4.9607     5.2501    

# Frame146

# x        y
3.4132     11.5837   

# Frame147

# x        y
5.4139     14.5609   

# Frame148

# x        y
4.8316     5.3534    

# Frame149

# x        y
3.4132     11.5837   

# Frame150

# x        y
5.1004     14.3993   

# Frame151

# x        y
4.7047     5.4550    

# Frame152

# x        y
3.4132     11.5837   

# Frame153

# x        y
4.8078     14.2096   

# Frame154

# x        y
4.5798     5.5548    

# Frame155

# x        y
3.4132     11.5837   

# Frame156

# x        y
4.5201     14.0230   

# Frame157

# x        y
4.4571     5.6531    

# Frame158

# x        y
3.4132     11.5837   

# Frame159

# x        y
4.2508     13.8256   

# Frame160

# x        y
4.3364     5.7496    

# Frame161

# x        y
3.4132     11.5837   

# Frame162

# x        y
4.0447     13.5707   

# Frame163

# x        y
4.2177     5.8446    

# Frame164

# x        y
3.4132     11.5837   

# Frame165

# x        y
3.9332     13.4532   

# Frame166

# x        y
4.1009     5.9380    

# Frame167

# x        y
3.3220     11.4505   

# Frame168

# x        y
3.8663     13.3966   

# Frame169

# x        y
3.9862     6.0298    

# Frame170

# x        y
3.1896     11.2605   

# Frame171

# x        y
3.8005     13.3410   

# Frame172

# x        y
3.8733     6.1201    

# Frame173

# x        y
3.0594     11.0737   

# Frame174

# x        y
3.7359     13.2863   

# Frame175

# x        y
3.7623     6.2089    

# Frame176

# x        y
2.9314     10.8900   

# Frame177

# x        y
3.6723     13.2325   

# Frame178

# x        y
3.6532     6.2962    

# Frame179

# x        y
2.8055     10.7094   

# Frame180

# x        y
3.6098     13.1795   

# Frame181

# x        y
3.5459     6.3821    

# Frame182

# x        y
2.6817     10.5318   

# Frame183

# x        y
3.5483     13.1275   

# Frame184

# x        y
3.4403     6.4665    

# Frame185

# x        y
2.5600     10.3571   

# Frame186

# x        y
3.4860     13.0651   

# Frame187

# x        y
3.3366     6.5495    

# Frame188

# x        y
2.4403     10.1854   

# Frame189

# x        y
3.4247     13.0037   

# Frame190

# x        y
3.2345     6.6312    

# Frame191

# x        y
2.3225     10.0165   

# Frame192

# x        y
3.3644     12.9434   

# Frame193

# x        y
3.1342     6.7114    

# Frame194

# x        y
2.2068     9.8504    

# Frame195

# x        y
3.3051     12.8840   

# Frame196

# x        y
3.0355     6.7904    

# Frame197

# x        y
2.0930     9.6872    

# Frame198

# x        y
3.2468     12.8257   

# Frame199

# x        y
2.9385     6.8680    

# Frame200

# x        y
1.9810     9.5266    

# Frame201

# x        y
3.1894     12.7683   

# Frame202

# x        y
2.8431     6.9443    

# Frame203

# x        y
1.8710     9.3687    

# Frame204

# x        y
3.1331     12.7119   

# Frame205

# x        y
2.7493     7.0194    

# Frame206

# x        y
1.7628     9.2134    

# Frame207

# x        y
3.0776     12.6564   

# Frame208

# x        y
2.6570     7.0932    

# Frame209

# x        y
1.6563     9.0607    

# Frame210

# x        y
3.0231     12.6019   

# Frame211

# x        y
2.5663     7.1658    

# Frame212

# x        y
1.5517     8.9106    

# Frame213

# x        y
2.9695     12.5482   

# Frame214

# x        y
2.5406     7.1405    

# Frame215

# x        y
1.3853     8.8596    

# Frame216

# x        y
2.9167     12.4955   

# Frame217

# x        y
