# x        y
11.4177    8.1551    

# Frame1

# x        y
10.8199    5.7496    

# Frame2

# x        y
13.3970    8.4040    

# Frame3

# x        y
10.4202    9.8885    

# Frame4

# x        y
10.8199    5.7496    

# Frame5

# x        y
12.8890    8.9680    

# Frame6

# x        y
9.4392     11.5931   

# Frame7

# x        y
10.8199    5.7496    

# Frame8

# x        y
12.3895    9.5226    

# Frame9

# x        y
8.4746     13.2693   

# Frame10

# x        y
10.8199    5.7496    

# Frame11

# x        y
11.8983    10.0680   

# Frame12

# x        y
7.5261     14.9175   

# Frame13

# x        y
10.8199    5.7496    

# Frame14

# x        y
11.4152    10.6043   

# Frame15

# x        y
7.3521     14.2285   

# Frame16

# x        y
10.8199    5.7496    

# Frame17

# x        y
10.9403    11.1316   

# Frame18

# x        y
7.2235     13.4317   

# Frame19

# x        y
10.8199    5.7496    

# Frame20

# x        y
10.4732    11.6502   

# Frame21

# x        y
7.0971     12.6481   

# Frame22

# x        y
10.8199    5.7496    

# Frame23

# x        y
10.0140    12.1601   

# Frame24

# x        y
6.9728     11.8776   

# Frame25

# x        y
10.8199    5.7496    

# Frame26

# x        y
9.5624     12.6615   

# Frame27

# x        y
6.8505     11.1199   

# Frame28

# x        y
10.8199    5.7496    

# Frame29

# x        y
9.1183     13.1545   

# Frame30

# x        y
6.7303     10.3748   

# Frame31

# x        y
10.8199    5.7496    

# Frame32

# x        y
8.6816     13.6394   

# Frame33

# x        y
6.6121     9.6422    

# Frame34

# x        y
10.8199    5.7496    

# Frame35

# x        y
8.2522     14.1161   

# Frame36

# x        y
6.4958     8.9217    

# Frame37

# x        y
10.8199    5.7496    

# Frame38

# x        y
7.8299     14.5849   

# Frame39

# x        y
6.3815     8.2133    

# Frame40

# x        y
10.8199    5.7496    

# Frame41

# x        y
7.3890     14.9752   

# Frame42

# x        y
6.2691     7.5167    

# Frame43

# x        y
10.8199    5.7496    

# Frame44

# x        y
6.6961     14.7485   

# Frame45

# x        y
6.1586     6.8317    

# Frame46

# x        y
10.8199    5.7496    

# Frame47

# x        y
6.0148     14.5256   

# Frame48

# x        y
6.0499     6.1581    

# Frame49

# x        y
10.8199    5.7496    

# Frame50

# x        y
5.3448     14.3065   

# Frame51

# x        y
5.9431     5.4957    

# Frame52

# x        y
10.8199    5.7496    

# Frame53

# x        y
4.6859     14.0909   

# Frame54

# x        y
5.8380     4.8444    

# Frame55

# x        y
10.8199    5.7496    

# Frame56

# x        y
4.2257     13.6806   

# Frame57

# x        y
5.7346     4.2040    

# Frame58

# x        y
10.8199    5.7496    

# Frame59

# x        y
3.9008     13.1414   

# Frame60

# x        y
5.6330     3.5742    

# Frame61

# x        y
10.8199    5.7496    

# Frame62

# x        y
3.5814     12.6112   

# Frame63

# x        y
5.5331     2.9549    

# Frame64

# x        y
10.8199    5.7496    

# Frame65

# x        y
3.2673     12.0898   

# Frame66

# x        y
5.4348     2.3459    

# Frame67

# x        y
10.8199    5.7496    

# Frame68

# x        y
2.9584     11.5771   

# Frame69

# x        y
5.3382     1.7471    

# Frame70

# x        y
10.8199    5.7496    

# Frame71

# x        y
2.6546     11.0730   

# Frame72

# x        y
5.4339     1.5723    

# Frame73

# x        y
10.8199    5.7496    

# Frame74

# x        y
2.3559     10.5772   

# Frame75

# x        y
5.6914     1.7564    

# Frame76

# x        y
10.8199    5.7496    

# Frame77

# x        y
2.0622     10.0897   

# Frame78

# x        y
5.9446     1.9375    

# Frame79

# x        y
10.8199    5.7496    

# Frame80

# x        y
1.7734     9.6104    

# Frame81

# x        y
6.1936     2.1155    

# Frame82

# x        y
10.8199    5.7496    

# Frame83

# x        y
1.4894     9.1390    

# Frame84

# x        y
6.4384     2.2906    

# Frame85

# x        y
10.8199    5.7496    

# Frame86

# x        y
1.2101     8.6755    

# Frame87

# x        y
6.6791     2.4627    

# Frame88

# x        y
10.8199    5.7496    

# Frame89

# x        y
1.0346     8.2153    

# Frame90

# x        y
6.9159     2.6320    

# Frame91

# x        y
10.8199    5.7496    

# Frame92

# x        y
1.1696     7.7472    

# Frame93

# x        y
7.1487     2.7985    

# Frame94

# x        y
10.8199    5.7496    

# Frame95

# x        y
1.3024     7.2868    

# Frame96

# x        y
7.3776     2.9622    

# Frame97

# x        y
10.8199    5.7496    

# Frame98

# x        y
1.4329     6.8341    

# Frame99

# x        y
7.6027     3.1232    

# Frame100

# x        y
10.8199    5.7496    

# Frame101

# x        y
1.5613     6.3890    

# Frame102

# x        y
7.8240     3.2814    

# Frame103

# x        y
10.8199    5.7496    

# Frame104

# x        y
1.6875     5.9513    

# Frame105

# x        y
8.0417     3.4371    

# Frame106

# x        y
10.8199    5.7496    

# Frame107

# x        y
1.8117     5.5209    

# Frame108

# x        y
8.2557     3.5901    

# Frame109

# x        y
10.8199    5.7496    

# Frame110

# x        y
1.9337     5.0976    

# Frame111

# x        y
8.4661     3.7406    

# Frame112

# x        y
10.8199    5.7496    

# Frame113

# x        y
2.0538     4.6814    

# Frame114

# x        y
8.6731     3.8886    

# Frame115

# x        y
10.8199    5.7496    

# Frame116

# x        y
2.1718     4.2722    

# Frame117

# x        y
8.8766     4.0341    

# Frame118

# x        y
10.8199    5.7496    

# Frame119

# x        y
2.4893     4.0565    

# Frame120

# x        y
9.0767     4.1772    

# Frame121

# x        y
10.8199    5.7496    

# Frame122

# x        y
2.8230     3.8636    

# Frame123

# x        y
9.2735     4.3179    

# Frame124

# x        y
10.8199    5.7496    

# Frame125

# x        y
3.1511     3.6740    

# Frame126

# x        y
9.3937     4.4032    

# Frame127

# x        y
10.8932    5.8027    

# Frame128

# x        y
3.4737     3.4875    

# Frame129

# x        y
9.4412     4.4373    

# Frame130

# x        y
11.0359    5.9047    

# Frame131

# x        y
3.7909     3.3041    

# Frame132

# x        y
9.4879     4.4708    

# Frame133

# x        y
11.1763    6.0050    

# Frame134

# x        y
4.1029     3.1238    

# Frame135

# x        y
9.5338     4.5038    

# Frame136

# x        y
11.3144    6.1036    

# Frame137

# x        y
4.4097     2.9465    

# Frame138

# x        y
9.5790     4.5362    

# Frame139

# x        y
11.4501    6.2006    

# Frame140

# x        y
4.7113     2.7722    

# Frame141

# x        y
9.6234     4.5680    

# Frame142

# x        y
11.5836    6.2959    

# Frame143

# x        y
5.0079     2.6007    

# Frame144

# x        y
9.6671     4.5994    

# Frame145

# x        y
11.7148    6.3897    

# Frame146

# x        y
5.2996     2.4321    

# Frame147

# x        y
9.7101     4.6302    

# Frame148

# x        y
11.8439    6.4819    

# Frame149

# x        y
5.5864     2.2663    

# Frame150

# x        y
9.7523     4.6605    

# Frame151

# x        y
11.9708    6.5725    

# Frame152

# x        y
5.8684     2.1033    

# Frame153

# x        y
9.7938     4.6903    

# Frame154

# x        y
12.0956    6.6617    

# Frame155

# x        y
6.1458     1.9430    

# Frame156

# x        y
9.8346     4.7196    

# Frame157

# x        y
12.2184    6.7494    

# Frame158

# x        y
6.4185     1.7854    

# Frame159

# x        y
9.8748     4.7484    

# Frame160

# x        y
12.3390    6.8356    

# Frame161

# x        y
6.6867     1.6304    

# Frame162

# x        y
9.9143     4.7767    

# Frame163

# x        y
12.4577    6.9203    

# Frame164

# x        y
6.9504     1.4780    

# Frame165

# x        y
9.9531     4.8046    

# Frame166

# x        y
12.5744    7.0037    

# Frame167

# x        y
7.2097     1.3281    

# Frame168

# x        y
9.9913     4.8320    

# Frame169

# x        y
12.6891    7.0856    

# Frame170

# x        y
7.4646     1.1807    

# Frame171

# x        y
10.0288    4.8589    

# Frame172

# x        y
12.8020    7.1662    

# Frame173

# x        y
7.7154     1.0358    

# Frame174

# x        y
10.0658    4.8854    

# Frame175

# x        y
12.9129    7.2455    

# Frame176

# x        y
7.9687     1.0557    

# Frame177

# x        y
10.1021    4.9114    

# Frame178

# x        y
13.0220    7.3234    

# Frame179

# x        y
8.2206     1.1258    

# Frame180

# x        y
10.1378    4.9371    

# Frame181

# x        y
13.1293    7.4001    

# Frame182

# x        y
8.4682     1.1947    

# Frame183

# x        y
10.1729    4.9622    

# Frame184

# x        y
13.2348    7.4754    

# Frame185

# x        y
8.7117     1.2624    

# Frame186

# x        y
10.2074    4.9870    

# Frame187

# x        y
13.3385    7.5495    

# Frame188

# x        y
8.9512     1.3290    

# Frame189

# x        y
10.2413    5.0114    

# Frame190

# x        y
13.4405    7.6224    

# Frame191

# x        y
9.1866     1.3946    

# Frame192

# x        y
10.2747    5.0353    

# Frame193

# x        y
13.5409    7.6940    

# Frame194

# x        y
9.4182     1.4590    

# Frame195

# x        y
10.3075    5.0589    

# Frame196

# x        y
13.6395    7.7645    

# Frame197

# x        y
9.6458     1.5223    

# Frame198

# x        y
10.3398    5.0820    

# Frame199

# x        y
13.7365    7.8338    

# Frame200

# x        y
9.8697     1.5846    

# Frame201

# x        y
10.3715    5.1048    

# Frame202

# x        y
13.8319    7.9019    

# Frame203

# x        y
10.0899    1.6459    

# Frame204

# x        y
10.4027    5.1272    

# Frame205

# x        y
13.9256    7.9689    

# Frame206

# x        y
10.3064    1.7061    

# Frame207

# x        y
10.4334    5.1492    

# Frame208

# x        y
14.0179    8.0348    

# Frame209

# x        y
10.5192    1.7653    

# Frame210

# x        y
10.4636    5.1708    

# Frame211

# x        y
14.1086    8.0996    

# Frame212

# x        y
10.7286    1.8236    

# Frame213

# x        y
10.4933    5.1921    

# Frame214

# x        y
14.1977    8.1633    

# Frame215

# x        y
10.9344    1.8808    

# Frame216

# x        y
10.5224    5.2131    

# Frame217

# x        y
