# x        y
9.1593     10.1508   

# Frame1

# x        y
6.7239     11.6300   

# Frame2

# x        y
7.3364     9.3407    

# Frame3

# x        y
9.3511     9.8141    

# Frame4

# x        y
6.7239     11.6300   

# Frame5

# x        y
8.1574     7.5169    

# Frame6

# x        y
9.5398     9.4829    

# Frame7

# x        y
6.7239     11.6300   

# Frame8

# x        y
8.9646     5.7236    

# Frame9

# x        y
9.7253     9.1573    

# Frame10

# x        y
6.7239     11.6300   

# Frame11

# x        y
9.7585     3.9601    

# Frame12

# x        y
9.9077     8.8372    

# Frame13

# x        y
6.7239     11.6300   

# Frame14

# x        y
10.5390    2.2260    

# Frame15

# x        y
10.0871    8.5223    

# Frame16

# x        y
6.7239     11.6300   

# Frame17

# x        y
10.8303    2.1605    

# Frame18

# x        y
10.2635    8.2127    

# Frame19

# x        y
6.7239     11.6300   

# Frame20

# x        y
10.8059    3.1754    

# Frame21

# x        y
10.4369    7.9083    

# Frame22

# x        y
6.7239     11.6300   

# Frame23

# x        y
10.7820    4.1734    

# Frame24

# x        y
10.6075    7.6089    

# Frame25

# x        y
6.7239     11.6300   

# Frame26

# x        y
10.7584    5.1547    

# Frame27

# x        y
10.7093    7.9117    

# Frame28

# x        y
6.7239     11.6300   

# Frame29

# x        y
10.8012    5.5225    

# Frame30

# x        y
10.7710    8.5526    

# Frame31

# x        y
6.7239     11.6300   

# Frame32

# x        y
10.8816    5.5412    

# Frame33

# x        y
10.8317    9.1827    

# Frame34

# x        y
6.7239     11.6300   

# Frame35

# x        y
10.9607    5.5595    

# Frame36

# x        y
10.8914    9.8024    

# Frame37

# x        y
6.7239     11.6300   

# Frame38

# x        y
11.0385    5.5775    

# Frame39

# x        y
10.9501    10.4117   

# Frame40

# x        y
6.7239     11.6300   

# Frame41

# x        y
11.1149    5.5952    

# Frame42

# x        y
11.0078    11.0108   

# Frame43

# x        y
6.7239     11.6300   

# Frame44

# x        y
11.1901    5.6126    

# Frame45

# x        y
11.0646    11.6000   

# Frame46

# x        y
6.7239     11.6300   

# Frame47

# x        y
11.2641    5.6297    

# Frame48

# x        y
11.1204    12.1794   

# Frame49

# x        y
6.7239     11.6300   

# Frame50

# x        y
11.3368    5.6465    

# Frame51

# x        y
11.1753    12.7491   

# Frame52

# x        y
6.7239     11.6300   

# Frame53

# x        y
11.4083    5.6631    

# Frame54

# x        y
11.2292    13.3093   

# Frame55

# x        y
6.7239     11.6300   

# Frame56

# x        y
11.4786    5.6794    

# Frame57

# x        y
11.2823    13.8601   

# Frame58

# x        y
6.7239     11.6300   

# Frame59

# x        y
11.5477    5.6954    

# Frame60

# x        y
11.2828    14.1449   

# Frame61

# x        y
6.7239     11.6300   

# Frame62

# x        y
11.6157    5.7111    

# Frame63

# x        y
11.1882    13.9131   

# Frame64

# x        y
6.7239     11.6300   

# Frame65

# x        y
11.6826    5.7266    

# Frame66

# x        y
11.0951    13.6851   

# Frame67

# x        y
6.7239     11.6300   

# Frame68

# x        y
11.7483    5.7418    

# Frame69

# x        y
11.0036    13.4609   

# Frame70

# x        y
6.7239     11.6300   

# Frame71

# x        y
11.8130    5.7568    

# Frame72

# x        y
10.9136    13.2405   

# Frame73

# x        y
6.7239     11.6300   

# Frame74

# x        y
11.8765    5.7715    

# Frame75

# x        y
10.8251    13.0237   

# Frame76

# x        y
6.7239     11.6300   

# Frame77

# x        y
11.9390    5.7860    

# Frame78

# x        y
10.7381    12.8106   

# Frame79

# x        y
6.7239     11.6300   

# Frame80

# x        y
12.0005    5.8002    

# Frame81

# x        y
10.6526    12.6010   

# Frame82

# x        y
6.7239     11.6300   

# Frame83

# x        y
12.0609    5.8142    

# Frame84

# x        y
10.5684    12.3949   

# Frame85

# x        y
6.7239     11.6300   

# Frame86

# x        y
12.1203    5.8280    

# Frame87

# x        y
10.4857    12.1922   

# Frame88

# x        y
6.7239     11.6300   

# Frame89

# x        y
12.1788    5.8415    

# Frame90

# x        y
10.4043    11.9929   

# Frame91

# x        y
6.7239     11.6300   

# Frame92

# x        y
12.2363    5.8548    

# Frame93

# x        y
10.3243    11.7970   

# Frame94

# x        y
6.7239     11.6300   

# Frame95

# x        y
12.2928    5.8679    

# Frame96

# x        y
10.2457    11.6042   

# Frame97

# x        y
6.7239     11.6300   

# Frame98

# x        y
12.3483    5.8808    

# Frame99

# x        y
10.1683    11.4148   

# Frame100

# x        y
6.7239     11.6300   

# Frame101

# x        y
12.4030    5.8934    

# Frame102

# x        y
10.0922    11.2284   

# Frame103

# x        y
6.7239     11.6300   

# Frame104

# x        y
12.4567    5.9059    

# Frame105

# x        y
10.0174    11.0452   

# Frame106

# x        y
6.7239     11.6300   

# Frame107

# x        y
12.5095    5.9181    

# Frame108

# x        y
9.9439     10.8650   

# Frame109

# x        y
6.7239     11.6300   

# Frame110

# x        y
12.5615    5.9301    

# Frame111

# x        y
9.8716     10.6879   

# Frame112

# x        y
6.7239     11.6300   

# Frame113

# x        y
12.6126    5.9419    

# Frame114

# x        y
9.8004     10.5136   

# Frame115

# x        y
6.7239     11.6300   

# Frame116

# x        y
12.6628    5.9536    

# Frame117

# x        y
9.7305     10.3423   

# Frame118

# x        y
6.7239     11.6300   

# Frame119

# x        y
12.7122    5.9650    

# Frame120

# x        y
9.6617     10.1739   

# Frame121

# x        y
6.7239     11.6300   

# Frame122

# x        y
12.7608    5.9763    

# Frame123

# x        y
9.5941     10.0082   

# Frame124

# x        y
6.7239     11.6300   

# Frame125

# x        y
12.8085    5.9873    

# Frame126

# x        y
9.5276     9.8453    

# Frame127

# x        y
6.7239     11.6300   

# Frame128

# x        y
12.8555    5.9982    

# Frame129

# x        y
9.4622     9.6851    

# Frame130

# x        y
6.7239     11.6300   

# Frame131

# x        y
12.9017    6.0089    

# Frame132

# x        y
9.3979     9.5276    

# Frame133

# x        y
6.7239     11.6300   

# Frame134

# x        y
12.9471    6.0194    

# Frame135

# x        y
9.3347     9.3728    

# Frame136

# x        y
6.7239     11.6300   

# Frame137

# x        y
12.9918    6.0297    

# Frame138

# x        y
9.2725     9.2205    

# Frame139

# x        y
6.7239     11.6300   

# Frame140

# x        y
13.0357    6.0399    

# Frame141

# x        y
9.2114     9.0707    

# Frame142

# x        y
6.7239     11.6300   

# Frame143

# x        y
13.0789    6.0499    

# Frame144

# x        y
9.1513     8.9234    

# Frame145

# x        y
6.7239     11.6300   

# Frame146

# x        y
13.1213    6.0597    

# Frame147

# x        y
9.0921     8.7786    

# Frame148

# x        y
6.7239     11.6300   

# Frame149

# x        y
13.1631    6.0694    

# Frame150

# x        y
9.0340     8.6362    

# Frame151

# x        y
6.7239     11.6300   

# Frame152

# x        y
13.2042    6.0789    

# Frame153

# x        y
8.9768     8.4962    

# Frame154

# x        y
6.7239     11.6300   

# Frame155

# x        y
13.2445    6.0883    

# Frame156

# x        y
8.9206     8.3585    

# Frame157

# x        y
6.7239     11.6300   

# Frame158

# x        y
13.2842    6.0975    

# Frame159

# x        y
8.8654     8.2231    

# Frame160

# x        y
6.7239     11.6300   

# Frame161

# x        y
13.3233    6.1065    

# Frame162

# x        y
8.8110     8.0900    

# Frame163

# x        y
6.7239     11.6300   

# Frame164

# x        y
13.3617    6.1154    

# Frame165

# x        y
8.7576     7.9591    

# Frame166

# x        y
6.7239     11.6300   

# Frame167

# x        y
13.3994    6.1241    

# Frame168

# x        y
8.7050     7.8303    

# Frame169

# x        y
6.7239     11.6300   

# Frame170

# x        y
13.4365    6.1327    

# Frame171

# x        y
8.6533     7.7037    

# Frame172

# x        y
6.7239     11.6300   

# Frame173

# x        y
13.4731    6.1412    

# Frame174

# x        y
8.6025     7.5793    

# Frame175

# x        y
6.7239     11.6300   

# Frame176

# x        y
13.5089    6.1495    

# Frame177

# x        y
8.5525     7.4568    

# Frame178

# x        y
6.7239     11.6300   

# Frame179

# x        y
13.5442    6.1577    

# Frame180

# x        y
8.5034     7.3365    

# Frame181

# x        y
6.7239     11.6300   

# Frame182

# x        y
13.5789    6.1657    

# Frame183

# x        y
8.4551     7.2181    

# Frame184

# x        y
6.7239     11.6300   

# Frame185

# x        y
13.6131    6.1736    

# Frame186

# x        y
8.4076     7.1017    

# Frame187

# x        y
6.7239     11.6300   

# Frame188

# x        y
13.6466    6.1814    

# Frame189

# x        y
8.3608     6.9873    

# Frame190

# x        y
6.7239     11.6300   

# Frame191

# x        y
13.6796    6.1890    

# Frame192

# x        y
8.3149     6.8747    

# Frame193

# x        y
6.7239     11.6300   

# Frame194

# x        y
13.7121    6.1965    

# Frame195

# x        y
8.2697     6.7641    

# Frame196

# x        y
6.7239     11.6300   

# Frame197

# x        y
13.7440    6.2039    

# Frame198

# x        y
8.2253     6.6552    

# Frame199

# x        y
6.7239     11.6300   

# Frame200

# x        y
13.7754    6.2112    

# Frame201

# x        y
8.1816     6.5482    

# Frame202

# x        y
6.7239     11.6300   

# Frame203

# x        y
13.8062    6.2183    

# Frame204

# x        y
8.1387     6.4430    

# Frame205

# x        y
6.7239     11.6300   

# Frame206

# x        y
13.8366    6.2254    

# Frame207

# x        y
8.0964     6.3395    

# Frame208

# x        y
6.7239     11.6300   

# Frame209

# x        y
13.8664    6.2323    

# Frame210

# x        y
8.0549     6.2378    

# Frame211

# x        y
6.7239     11.6300   

# Frame212

# x        y
13.8958    6.2391    

# Frame213

# x        y
8.0140     6.1378    

# Frame214

# x        y
6.7239     11.6300   

# Frame215

# x        y
13.9246    6.2457    

# Frame216

# x        y
7.9739     6.0394    

# Frame217

# x        y
