# x        y
8.4358     17.5468   

# Frame1

# x        y
7.2483     4.9366    

# Frame2

# x        y
1.6544     4.4422    

# Frame3

# x        y
8.2657     15.5541   

# Frame4

# x        y
7.2483     4.9366    

# Frame5

# x        y
1.6544     4.4422    

# Frame6

# x        y
8.0985     13.5945   

# Frame7

# x        y
7.2483     4.9366    

# Frame8

# x        y
1.6544     4.4422    

# Frame9

# x        y
7.9340     11.6676   

# Frame10

# x        y
7.2483     4.9366    

# Frame11

# x        y
1.6544     4.4422    

# Frame12

# x        y
7.7724     9.7729    

# Frame13

# x        y
7.2483     4.9366    

# Frame14

# x        y
1.6544     4.4422    

# Frame15

# x        y
7.6134     7.9097    

# Frame16

# x        y
7.2483     4.9366    

# Frame17

# x        y
1.6544     4.4422    

# Frame18

# x        y
7.4297     6.7120    

# Frame19

# x        y
7.2756     4.3021    

# Frame20

# x        y
1.6544     4.4422    

# Frame21

# x        y
7.2150     6.2866    

# Frame22

# x        y
7.3366     2.9259    

# Frame23

# x        y
1.6544     4.4422    

# Frame24

# x        y
7.0038     5.8683    

# Frame25

# x        y
7.3966     1.5726    

# Frame26

# x        y
1.6544     4.4422    

# Frame27

# x        y
7.0192     5.6654    

# Frame28

# x        y
7.5368     1.3814    

# Frame29

# x        y
1.6544     4.4422    

# Frame30

# x        y
7.0532     5.4941    

# Frame31

# x        y
7.7360     2.0357    

# Frame32

# x        y
1.6544     4.4422    

# Frame33

# x        y
7.0865     5.3256    

# Frame34

# x        y
7.9318     2.6791    

# Frame35

# x        y
1.6544     4.4422    

# Frame36

# x        y
7.1194     5.1600    

# Frame37

# x        y
8.1244     3.3117    

# Frame38

# x        y
1.6544     4.4422    

# Frame39

# x        y
7.0132     5.3324    

# Frame40

# x        y
8.4522     3.5985    

# Frame41

# x        y
1.6544     4.4422    

# Frame42

# x        y
6.9190     5.5675    

# Frame43

# x        y
8.8052     3.8042    

# Frame44

# x        y
1.6544     4.4422    

# Frame45

# x        y
7.1321     5.7409    

# Frame46

# x        y
8.9216     3.9845    

# Frame47

# x        y
1.6544     4.4422    

# Frame48

# x        y
7.3416     5.9113    

# Frame49

# x        y
8.7509     4.1322    

# Frame50

# x        y
1.6544     4.4422    

# Frame51

# x        y
7.5477     6.0789    

# Frame52

# x        y
8.5831     4.2775    

# Frame53

# x        y
1.6544     4.4422    

# Frame54

# x        y
7.7092     6.2695    

# Frame55

# x        y
8.4593     4.3946    

# Frame56

# x        y
1.6544     4.4422    

# Frame57

# x        y
7.8038     6.4891    

# Frame58

# x        y
8.4016     4.4776    

# Frame59

# x        y
1.6544     4.4422    

# Frame60

# x        y
7.8969     6.7050    

# Frame61

# x        y
8.3450     4.5592    

# Frame62

# x        y
1.6544     4.4422    

# Frame63

# x        y
7.9884     6.9174    

# Frame64

# x        y
8.2892     4.6394    

# Frame65

# x        y
1.6544     4.4422    

# Frame66

# x        y
8.0783     7.1261    

# Frame67

# x        y
8.2344     4.7183    

# Frame68

# x        y
1.6544     4.4422    

# Frame69

# x        y
8.1668     7.3314    

# Frame70

# x        y
8.1806     4.7959    

# Frame71

# x        y
1.6544     4.4422    

# Frame72

# x        y
8.2538     7.5333    

# Frame73

# x        y
8.1276     4.8722    

# Frame74

# x        y
1.6544     4.4422    

# Frame75

# x        y
8.3393     7.7318    

# Frame76

# x        y
8.0755     4.9472    

# Frame77

# x        y
1.6544     4.4422    

# Frame78

# x        y
8.4235     7.9270    

# Frame79

# x        y
8.0242     5.0210    

# Frame80

# x        y
1.6544     4.4422    

# Frame81

# x        y
8.5062     8.1190    

# Frame82

# x        y
7.9739     5.0936    

# Frame83

# x        y
1.6544     4.4422    

# Frame84

# x        y
8.5875     8.3077    

# Frame85

# x        y
7.9243     5.1649    

# Frame86

# x        y
1.6544     4.4422    

# Frame87

# x        y
8.6675     8.4933    

# Frame88

# x        y
7.8756     5.2351    

# Frame89

# x        y
1.6544     4.4422    

# Frame90

# x        y
8.7462     8.6758    

# Frame91

# x        y
7.8277     5.3040    

# Frame92

# x        y
1.6544     4.4422    

# Frame93

# x        y
8.8235     8.8553    

# Frame94

# x        y
7.7806     5.3719    

# Frame95

# x        y
1.6544     4.4422    

# Frame96

# x        y
8.8996     9.0318    

# Frame97

# x        y
7.7343     5.4386    

# Frame98

# x        y
1.6544     4.4422    

# Frame99

# x        y
8.9743     9.2053    

# Frame100

# x        y
7.6887     5.5042    

# Frame101

# x        y
1.6544     4.4422    

# Frame102

# x        y
8.9737     9.3291    

# Frame103

# x        y
7.6439     5.5687    

# Frame104

# x        y
1.6544     4.4422    

# Frame105

# x        y
8.9376     9.4177    

# Frame106

# x        y
7.5999     5.6321    

# Frame107

# x        y
1.6544     4.4422    

# Frame108

# x        y
8.9020     9.5049    

# Frame109

# x        y
7.5566     5.6944    

# Frame110

# x        y
1.6544     4.4422    

# Frame111

# x        y
8.8670     9.5907    

# Frame112

# x        y
7.5140     5.7558    

# Frame113

# x        y
1.6544     4.4422    

# Frame114

# x        y
8.8327     9.6750    

# Frame115

# x        y
7.4721     5.8161    

# Frame116

# x        y
1.6544     4.4422    

# Frame117

# x        y
8.7989     9.7579    

# Frame118

# x        y
7.4310     5.8754    

# Frame119

# x        y
1.6544     4.4422    

# Frame120

# x        y
8.7656     9.8395    

# Frame121

# x        y
7.3905     5.9337    

# Frame122

# x        y
1.6544     4.4422    

# Frame123

# x        y
8.7329     9.9197    

# Frame124

# x        y
7.3507     5.9910    

# Frame125

# x        y
1.6544     4.4422    

# Frame126

# x        y
8.7008     9.9985    

# Frame127

# x        y
7.3115     6.0474    

# Frame128

# x        y
1.6544     4.4422    

# Frame129

# x        y
8.6692     10.0760   

# Frame130

# x        y
7.2730     6.1028    

# Frame131

# x        y
1.6544     4.4422    

# Frame132

# x        y
8.6381     10.1523   

# Frame133

# x        y
7.2351     6.1574    

# Frame134

# x        y
1.6544     4.4422    

# Frame135

# x        y
8.6075     10.2272   

# Frame136

# x        y
7.1979     6.2110    

# Frame137

# x        y
1.6544     4.4422    

# Frame138

# x        y
8.5775     10.3009   

# Frame139

# x        y
7.1613     6.2637    

# Frame140

# x        y
1.6544     4.4422    

# Frame141

# x        y
8.5479     10.3734   

# Frame142

# x        y
7.1253     6.3155    

# Frame143

# x        y
1.6544     4.4422    

# Frame144

# x        y
8.5189     10.4447   

# Frame145

# x        y
7.0899     6.3665    

# Frame146

# x        y
1.6544     4.4422    

# Frame147

# x        y
8.4903     10.5148   

# Frame148

# x        y
7.0551     6.4166    

# Frame149

# x        y
1.6544     4.4422    

# Frame150

# x        y
8.4622     10.5837   

# Frame151

# x        y
7.0209     6.4659    

# Frame152

# x        y
1.6544     4.4422    

# Frame153

# x        y
8.4346     10.6515   

# Frame154

# x        y
7.0083     6.4979    

# Frame155

# x        y
1.6544     4.4422    

# Frame156

# x        y
8.4074     10.7181   

# Frame157

# x        y
7.0248     6.4753    

# Frame158

# x        y
1.6544     4.4422    

# Frame159

# x        y
8.3807     10.7837   

# Frame160

# x        y
7.0411     6.4532    

# Frame161

# x        y
1.6544     4.4422    

# Frame162

# x        y
8.3544     10.8481   

# Frame163

# x        y
7.0571     6.4314    

# Frame164

# x        y
1.6544     4.4422    

# Frame165

# x        y
8.3286     10.9115   

# Frame166

# x        y
7.0728     6.4099    

# Frame167

# x        y
1.6544     4.4422    

# Frame168

# x        y
8.3032     10.9738   

# Frame169

# x        y
7.0883     6.3888    

# Frame170

# x        y
1.6544     4.4422    

# Frame171

# x        y
8.2782     11.0351   

# Frame172

# x        y
7.1035     6.3681    

# Frame173

# x        y
1.6544     4.4422    

# Frame174

# x        y
8.2536     11.0953   

# Frame175

# x        y
7.1185     6.3477    

# Frame176

# x        y
1.6544     4.4422    

# Frame177

# x        y
8.2295     11.1546   

# Frame178

# x        y
7.1332     6.3277    

# Frame179

# x        y
1.6544     4.4422    

# Frame180

# x        y
8.2057     11.2128   

# Frame181

# x        y
7.1476     6.3080    

# Frame182

# x        y
1.6544     4.4422    

# Frame183

# x        y
8.1824     11.2701   

# Frame184

# x        y
7.1619     6.2886    

# Frame185

# x        y
1.6544     4.4422    

# Frame186

# x        y
8.1594     11.3264   

# Frame187

# x        y
7.1759     6.2695    

# Frame188

# x        y
1.6544     4.4422    

# Frame189

# x        y
8.1368     11.3818   

# Frame190

# x        y
7.1896     6.2508    

# Frame191

# x        y
1.6544     4.4422    

# Frame192

# x        y
8.1146     11.4363   

# Frame193

# x        y
7.2031     6.2324    

# Frame194

# x        y
1.6544     4.4422    

# Frame195

# x        y
8.0928     11.4899   

# Frame196

# x        y
7.2164     6.2142    

# Frame197

# x        y
1.6544     4.4422    

# Frame198

# x        y
8.0713     11.5425   

# Frame199

# x        y
7.2295     6.1964    

# Frame200

# x        y
1.6544     4.4422    

# Frame201

# x        y
8.0502     11.5943   

# Frame202

# x        y
7.2424     6.1789    

# Frame203

# x        y
1.6544     4.4422    

# Frame204

# x        y
8.0294     11.6453   

# Frame205

# x        y
7.2550     6.1617    

# Frame206

# x        y
1.6544     4.4422    

# Frame207

# x        y
8.0090     11.6953   

# Frame208

# x        y
7.2674     6.1447    

# Frame209

# x        y
1.6544     4.4422    

# Frame210

# x        y
7.9889     11.7446   

# Frame211

# x        y
7.2797     6.1281    

# Frame212

# x        y
1.6544     4.4422    

# Frame213

# x        y
7.9692     11.7930   

# Frame214

# x        y
7.2917     6.1117    

# Frame215

# x        y
1.6544     4.4422    

# Frame216

# x        y
7.9498     11.8406   

# Frame217

# x        y
