# x        y
8.7344     5.5735    

# Frame1

# x        y
3.5773     18.2539   

# Frame2

# x        y
1.7762     5.4040    

# Frame3

# x        y
7.2143     6.8732    

# Frame4

# x        y
3.5773     18.2539   

# Frame5

# x        y
1.7762     5.4040    

# Frame6

# x        y
7.6421     7.3466    

# Frame7

# x        y
3.5773     18.2539   

# Frame8

# x        y
1.7762     5.4040    

# Frame9

# x        y
8.3771     7.6761    

# Frame10

# x        y
3.5773     18.2539   

# Frame11

# x        y
1.7762     5.4040    

# Frame12

# x        y
8.9478     7.9717    

# Frame13

# x        y
3.5773     18.2539   

# Frame14

# x        y
1.7762     5.4040    

# Frame15

# x        y
8.5924     8.0771    

# Frame16

# x        y
3.5773     18.2539   

# Frame17

# x        y
1.7762     5.4040    

# Frame18

# x        y
8.2430     8.1808    

# Frame19

# x        y
3.5773     18.2539   

# Frame20

# x        y
1.7762     5.4040    

# Frame21

# x        y
7.8995     8.2827    

# Frame22

# x        y
3.5773     18.2539   

# Frame23

# x        y
1.7762     5.4040    

# Frame24

# x        y
7.5616     8.3830    

# Frame25

# x        y
3.5773     18.2539   

# Frame26

# x        y
1.7762     5.4040    

# Frame27

# x        y
7.2294     8.4816    

# Frame28

# x        y
3.5773     18.2539   

# Frame29

# x        y
1.7762     5.4040    

# Frame30

# x        y
7.0505     8.5602    

# Frame31

# x        y
3.5773     18.2539   

# Frame32

# x        y
1.7762     5.4040    

# Frame33

# x        y
7.2111     8.5917    

# Frame34

# x        y
3.5773     18.2539   

# Frame35

# x        y
1.7762     5.4040    

# Frame36

# x        y
7.3691     8.6227    

# Frame37

# x        y
3.5773     18.2539   

# Frame38

# x        y
1.7762     5.4040    

# Frame39

# x        y
7.5244     8.6532    

# Frame40

# x        y
3.5773     18.2539   

# Frame41

# x        y
1.7762     5.4040    

# Frame42

# x        y
7.6771     8.6832    

# Frame43

# x        y
3.5773     18.2539   

# Frame44

# x        y
1.7762     5.4040    

# Frame45

# x        y
7.8273     8.7127    

# Frame46

# x        y
3.5773     18.2539   

# Frame47

# x        y
1.7762     5.4040    

# Frame48

# x        y
7.9750     8.7417    

# Frame49

# x        y
3.5773     18.2539   

# Frame50

# x        y
1.7762     5.4040    

# Frame51

# x        y
8.1202     8.7702    

# Frame52

# x        y
3.5773     18.2539   

# Frame53

# x        y
1.7762     5.4040    

# Frame54

# x        y
8.2630     8.7983    

# Frame55

# x        y
3.5773     18.2539   

# Frame56

# x        y
1.7762     5.4040    

# Frame57

# x        y
8.4034     8.8259    

# Frame58

# x        y
3.5773     18.2539   

# Frame59

# x        y
1.7762     5.4040    

# Frame60

# x        y
8.5415     8.8530    

# Frame61

# x        y
3.5773     18.2539   

# Frame62

# x        y
1.7762     5.4040    

# Frame63

# x        y
8.6772     8.8796    

# Frame64

# x        y
3.5773     18.2539   

# Frame65

# x        y
1.7762     5.4040    

# Frame66

# x        y
8.8108     8.9058    

# Frame67

# x        y
3.5773     18.2539   

# Frame68

# x        y
1.7762     5.4040    

# Frame69

# x        y
8.9420     8.9316    

# Frame70

# x        y
3.5773     18.2539   

# Frame71

# x        y
1.7762     5.4040    

# Frame72

# x        y
8.9626     8.9483    

# Frame73

# x        y
3.5773     18.2539   

# Frame74

# x        y
1.7762     5.4040    

# Frame75

# x        y
8.8991     8.9565    

# Frame76

# x        y
3.5773     18.2539   

# Frame77

# x        y
1.7762     5.4040    

# Frame78

# x        y
8.8367     8.9646    

# Frame79

# x        y
3.5773     18.2539   

# Frame80

# x        y
1.7762     5.4040    

# Frame81

# x        y
8.7753     8.9726    

# Frame82

# x        y
3.5773     18.2539   

# Frame83

# x        y
1.7762     5.4040    

# Frame84

# x        y
8.7149     8.9805    

# Frame85

# x        y
3.5773     18.2539   

# Frame86

# x        y
1.7762     5.4040    

# Frame87

# x        y
8.6556     8.9882    

# Frame88

# x        y
3.5773     18.2539   

# Frame89

# x        y
1.7762     5.4040    

# Frame90

# x        y
8.5972     8.9958    

# Frame91

# x        y
3.5773     18.2539   

# Frame92

# x        y
1.7762     5.4040    

# Frame93

# x        y
8.5399     9.0032    

# Frame94

# x        y
3.5773     18.2539   

# Frame95

# x        y
1.7762     5.4040    

# Frame96

# x        y
8.4834     9.0105    

# Frame97

# x        y
3.5773     18.2539   

# Frame98

# x        y
1.7762     5.4040    

# Frame99

# x        y
8.4279     9.0178    

# Frame100

# x        y
3.5773     18.2539   

# Frame101

# x        y
1.7762     5.4040    

# Frame102

# x        y
8.3734     9.0248    

# Frame103

# x        y
3.5773     18.2539   

# Frame104

# x        y
1.7762     5.4040    

# Frame105

# x        y
8.3197     9.0318    

# Frame106

# x        y
3.5773     18.2539   

# Frame107

# x        y
1.7762     5.4040    

# Frame108

# x        y
8.2670     9.0387    

# Frame109

# x        y
3.5773     18.2539   

# Frame110

# x        y
1.7762     5.4040    

# Frame111

# x        y
8.2151     9.0454    

# Frame112

# x        y
3.5773     18.2539   

# Frame113

# x        y
1.7762     5.4040    

# Frame114

# x        y
8.1641     9.0520    

# Frame115

# x        y
3.5773     18.2539   

# Frame116

# x        y
1.7762     5.4040    

# Frame117

# x        y
8.1139     9.0586    

# Frame118

# x        y
3.5773     18.2539   

# Frame119

# x        y
1.7762     5.4040    

# Frame120

# x        y
8.0646     9.0650    

# Frame121

# x        y
3.5773     18.2539   

# Frame122

# x        y
1.7762     5.4040    

# Frame123

# x        y
8.0161     9.0713    

# Frame124

# x        y
3.5773     18.2539   

# Frame125

# x        y
1.7762     5.4040    

# Frame126

# x        y
7.9684     9.0775    

# Frame127

# x        y
3.5773     18.2539   

# Frame128

# x        y
1.7762     5.4040    

# Frame129

# x        y
7.9215     9.0836    

# Frame130

# x        y
3.5773     18.2539   

# Frame131

# x        y
1.7762     5.4040    

# Frame132

# x        y
7.8754     9.0896    

# Frame133

# x        y
3.5773     18.2539   

# Frame134

# x        y
1.7762     5.4040    

# Frame135

# x        y
7.8300     9.0954    

# Frame136

# x        y
3.5773     18.2539   

# Frame137

# x        y
1.7762     5.4040    

# Frame138

# x        y
7.7854     9.1012    

# Frame139

# x        y
3.5773     18.2539   

# Frame140

# x        y
1.7762     5.4040    

# Frame141

# x        y
7.7416     9.1069    

# Frame142

# x        y
3.5773     18.2539   

# Frame143

# x        y
1.7762     5.4040    

# Frame144

# x        y
7.6984     9.1125    

# Frame145

# x        y
3.5773     18.2539   

# Frame146

# x        y
1.7762     5.4040    

# Frame147

# x        y
7.6560     9.1181    

# Frame148

# x        y
3.5773     18.2539   

# Frame149

# x        y
1.7762     5.4040    

# Frame150

# x        y
7.6143     9.1235    

# Frame151

# x        y
3.5773     18.2539   

# Frame152

# x        y
1.7762     5.4040    

# Frame153

# x        y
7.5733     9.1288    

# Frame154

# x        y
3.5773     18.2539   

# Frame155

# x        y
1.7762     5.4040    

# Frame156

# x        y
7.5330     9.1340    

# Frame157

# x        y
3.5773     18.2539   

# Frame158

# x        y
1.7762     5.4040    

# Frame159

# x        y
7.4934     9.1392    

# Frame160

# x        y
3.5773     18.2539   

# Frame161

# x        y
1.7762     5.4040    

# Frame162

# x        y
7.4544     9.1443    

# Frame163

# x        y
3.5773     18.2539   

# Frame164

# x        y
1.7762     5.4040    

# Frame165

# x        y
7.4161     9.1492    

# Frame166

# x        y
3.5773     18.2539   

# Frame167

# x        y
1.7762     5.4040    

# Frame168

# x        y
7.3784     9.1541    

# Frame169

# x        y
3.5773     18.2539   

# Frame170

# x        y
1.7762     5.4040    

# Frame171

# x        y
7.3413     9.1590    

# Frame172

# x        y
3.5773     18.2539   

# Frame173

# x        y
1.7762     5.4040    

# Frame174

# x        y
7.3048     9.1637    

# Frame175

# x        y
3.5773     18.2539   

# Frame176

# x        y
1.7762     5.4040    

# Frame177

# x        y
7.2690     9.1683    

# Frame178

# x        y
3.5773     18.2539   

# Frame179

# x        y
1.7762     5.4040    

# Frame180

# x        y
7.2337     9.1729    

# Frame181

# x        y
3.5773     18.2539   

# Frame182

# x        y
1.7762     5.4040    

# Frame183

# x        y
7.1991     9.1774    

# Frame184

# x        y
3.5773     18.2539   

# Frame185

# x        y
1.7762     5.4040    

# Frame186

# x        y
7.1650     9.1819    

# Frame187

# x        y
3.5773     18.2539   

# Frame188

# x        y
1.7762     5.4040    

# Frame189

# x        y
7.1315     9.1862    

# Frame190

# x        y
3.5773     18.2539   

# Frame191

# x        y
1.7762     5.4040    

# Frame192

# x        y
7.0985     9.1905    

# Frame193

# x        y
3.5773     18.2539   

# Frame194

# x        y
1.7762     5.4040    

# Frame195

# x        y
7.0661     9.1947    

# Frame196

# x        y
3.5773     18.2539   

# Frame197

# x        y
1.7762     5.4040    

# Frame198

# x        y
7.0343     9.1988    

# Frame199

# x        y
3.5773     18.2539   

# Frame200

# x        y
1.7762     5.4040    

# Frame201

# x        y
7.0029     9.2029    

# Frame202

# x        y
3.5773     18.2539   

# Frame203

# x        y
1.7762     5.4040    

# Frame204

# x        y
7.0183     9.2042    

# Frame205

# x        y
3.5773     18.2539   

# Frame206

# x        y
1.7762     5.4040    

# Frame207

# x        y
7.0335     9.2055    

# Frame208

# x        y
3.5773     18.2539   

# Frame209

# x        y
1.7762     5.4040    

# Frame210

# x        y
7.0484     9.2068    

# Frame211

# x        y
3.5773     18.2539   

# Frame212

# x        y
1.7762     5.4040    

# Frame213

# x        y
7.0630     9.2081    

# Frame214

# x        y
3.5773     18.2539   

# Frame215

# x        y
1.7762     5.4040    

# Frame216

# x        y
7.0774     9.2093    

# Frame217

# x        y
