# x        y
6.5084     37.0512   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame1

# x        y
7.2880     38.8930   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame2

# x        y
7.8140     38.1461   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame3

# x        y
8.3156     37.2556   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame4

# x        y
8.8089     36.3800   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame5

# x        y
9.2940     35.5190   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame6

# x        y
9.7709     34.6723   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame7

# x        y
10.2399    33.8398   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame8

# x        y
10.7011    33.0211   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame9

# x        y
11.1546    32.2161   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame10

# x        y
11.6006    31.4244   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame11

# x        y
12.0391    30.6460   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame12

# x        y
12.4703    29.8806   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame13

# x        y
12.8943    29.1279   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame14

# x        y
13.3113    28.3877   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame15

# x        y
13.7213    27.6599   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame16

# x        y
14.1245    26.9442   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame17

# x        y
14.5209    26.2405   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame18

# x        y
14.9108    25.5485   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame19

# x        y
15.2941    24.8680   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame20

# x        y
15.6711    24.1988   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame21

# x        y
16.0418    23.5408   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame22

# x        y
16.4063    22.8938   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame23

# x        y
16.7647    22.2575   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame24

# x        y
17.1171    21.6319   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame25

# x        y
17.4637    21.0167   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame26

# x        y
17.8045    20.4117   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame27

# x        y
18.1396    19.8168   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame28

# x        y
18.4692    19.2319   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame29

# x        y
18.7932    18.6566   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame30

# x        y
18.9422    18.1323   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame31

# x        y
18.7855    17.6973   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame32

# x        y
18.6315    17.2695   
16.9834    15.8726   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame33

# x        y
18.5697    16.9903   
16.8936    15.7311   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame34

# x        y
18.5770    16.8285   
16.7374    15.4792   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame35

# x        y
18.5841    16.6695   
16.5838    15.2314   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame36

# x        y
18.5911    16.5131   
16.4328    14.9878   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame37

# x        y
18.5979    16.3593   
16.2843    14.7483   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame38

# x        y
18.6047    16.2081   
16.1383    14.5127   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame39

# x        y
18.6113    16.0594   
15.9947    14.2811   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame40

# x        y
18.6178    15.9132   
15.8535    14.0533   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
11.4320    11.6817   

# Frame41

# x        y
18.6243    15.7694   
15.7146    13.8293   
9.9074     13.3555   
18.7801    8.2255    
14.2248    18.3221   
