# x        y
13.0905    4.8469    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame1

# x        y
11.0907    4.8710    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame2

# x        y
9.1241     4.8948    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame3

# x        y
7.1904     4.9182    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame4

# x        y
5.2889     4.9412    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame5

# x        y
3.4190     4.9638    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame6

# x        y
1.5804     4.9860    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame7

# x        y
1.6162     5.0029    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame8

# x        y
2.5051     5.0172    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame9

# x        y
3.3792     5.0313    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame10

# x        y
4.2388     5.0451    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame11

# x        y
5.0840     5.0587    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame12

# x        y
5.9152     5.0721    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame13

# x        y
6.7325     5.0853    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame14

# x        y
7.5361     5.0982    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame15

# x        y
8.3264     5.1109    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame16

# x        y
9.1035     5.1234    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame17

# x        y
9.8677     5.1357    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame18

# x        y
10.6191    5.1478    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame19

# x        y
11.3580    5.1597    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame20

# x        y
12.0846    5.1714    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame21

# x        y
12.7990    5.1829    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame22

# x        y
13.5016    5.1942    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame23

# x        y
14.1924    5.2053    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame24

# x        y
14.8718    5.2162    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame25

# x        y
15.5398    5.2270    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame26

# x        y
16.1967    5.2376    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame27

# x        y
16.8426    5.2479    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame28

# x        y
17.4778    5.2582    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame29

# x        y
18.1024    5.2682    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame30

# x        y
18.7165    5.2781    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame31

# x        y
18.8379    5.2850    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame32

# x        y
18.5410    5.2892    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame33

# x        y
18.2490    5.2934    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame34

# x        y
17.9618    5.2975    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame35

# x        y
17.6795    5.3015    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame36

# x        y
17.4019    5.3055    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame37

# x        y
17.1289    5.3094    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame38

# x        y
16.8604    5.3132    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame39

# x        y
16.5965    5.3170    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame40

# x        y
16.3369    5.3207    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame41

# x        y
16.0816    5.3243    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame42

# x        y
15.8306    5.3279    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame43

# x        y
15.5838    5.3314    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame44

# x        y
15.3411    5.3349    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame45

# x        y
15.1025    5.3383    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame46

# x        y
14.8678    5.3417    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame47

# x        y
14.6370    5.3450    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame48

# x        y
14.4101    5.3482    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame49

# x        y
14.1869    5.3514    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame50

# x        y
13.9675    5.3545    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame51

# x        y
13.7518    5.3576    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame52

# x        y
13.5396    5.3606    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame53

# x        y
13.3310    5.3636    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame54

# x        y
13.1258    5.3665    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame55

# x        y
12.9241    5.3694    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame56

# x        y
12.7257    5.3722    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame57

# x        y
12.5306    5.3750    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame58

# x        y
12.3388    5.3778    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame59

# x        y
12.1502    5.3804    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame60

# x        y
11.9647    5.3831    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame61

# x        y
11.7824    5.3857    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame62

# x        y
11.6030    5.3883    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame63

# x        y
11.4267    5.3908    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame64

# x        y
11.2532    5.3933    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame65

# x        y
11.0827    5.3957    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame66

# x        y
10.9150    5.3981    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame67

# x        y
10.7501    5.4004    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame68

# x        y
10.5880    5.4027    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame69

# x        y
10.4286    5.4050    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame70

# x        y
10.2718    5.4073    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame71

# x        y
10.1176    5.4095    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame72

# x        y
9.9660     5.4116    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame73

# x        y
9.8170     5.4138    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame74

# x        y
9.6704     5.4158    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame75

# x        y
9.5262     5.4179    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame76

# x        y
9.3845     5.4199    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame77

# x        y
9.2451     5.4219    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame78

# x        y
9.1080     5.4239    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame79

# x        y
8.9733     5.4258    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame80

# x        y
8.8408     5.4277    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame81

# x        y
8.7104     5.4295    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame82

# x        y
8.5823     5.4314    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame83

# x        y
8.4563     5.4332    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame84

# x        y
8.3324     5.4349    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame85

# x        y
8.2105     5.4367    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame86

# x        y
8.0907     5.4384    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
4.4665     30.4328   

# Frame87

# x        y
7.9729     5.4401    
9.5188     14.0712   
4.9086     16.6560   
9.6073     31.7945   
11.6305    19.7941   
