# x        y
1.7321     1.0044    
1.0046     28.0770   
5.1496     23.2042   
17.2376    22.5645   
7.4364     3.5631    
16.4770    4.0343    

# Frame1

# x        y
1.4481     1.7959    
1.0047     28.0770   
5.1496     23.2042   
17.2376    22.5645   
7.4364     3.5631    
16.4770    4.0343    

# Frame2

# x        y
2.2469     2.7157    
1.0048     28.0770   
5.1496     23.2042   
17.2376    22.5645   
7.4364     3.5631    
16.4770    4.0343    

# Frame3

# x        y
3.0323     3.6202    
1.0048     28.0770   
5.1496     23.2042   
17.2376    22.5645   
7.4364     3.5631    
16.4770    4.0343    

# Frame4

# x        y
3.8046     4.5097    
1.0048     28.0770   
5.1496     23.2042   
17.2376    22.5645   
7.4364     3.5631    
16.4770    4.0343    

# Frame5

# x        y
4.5641     5.3843    
1.0049     28.0770   
5.1496     23.2042   
17.2376    22.5645   
7.4364     3.5631    
16.4770    4.0343    

# Frame6

# x        y
5.3109     6.2443    
1.0049     28.0770   
5.1496     23.2042   
17.2376    22.5645   
7.4364     3.5631    
16.4770    4.0343    

# Frame7

# x        y
6.0453     7.0900    
1.0049     28.0770   
5.1496     23.2042   
17.2376    22.5645   
7.4364     3.5631    
16.4770    4.0343    

# Frame8

# x        y
6.7674     7.9217    
1.0049     28.0770   
5.1496     23.2042   
17.2376    22.5645   
7.4364     3.5631    
16.4770    4.0343    

# Frame9

# x        y
7.4775     8.7394    
1.0050     28.0770   
5.1496     23.2042   
17.2376    22.5645   
7.4364     3.5631    
16.4770    4.0343    

# Frame10

# x        y
8.1758     9.5435    
1.0050     28.0770   
5.1496     23.2042   
17.2376    22.5645   
7.4364     3.5631    
16.4770    4.0343    

# Frame11

# x        y
8.8624     10.3342   
1.0050     28.0770   
5.1496     23.2042   
17.2376    22.5645   
7.4364     3.5631    
16.4770    4.0343    

# Frame12

# x        y
9.5376     11.1118   
1.0050     28.0770   
5.1496     23.2042   
17.2376    22.5645   
7.4364     3.5631    
16.4770    4.0343    

# Frame13

# x        y
10.2015    11.8764   
1.0050     28.0770   
5.1496     23.2042   
17.2376    22.5645   
7.4364     3.5631    
16.4770    4.0343    

# Frame14

# x        y
10.8543    12.6282   
1.0050     28.0770   
5.1496     23.2042   
17.2376    22.5645   
7.4364     3.5631    
16.4770    4.0343    

# Frame15

# x        y
11.4963    13.3675   
1.0050     28.0770   
5.1496     23.2042   
17.2376    22.5645   
7.4364     3.5631    
16.4770    4.0343    

# Frame16

# x        y
12.1276    14.0945   
1.0050     28.0770   
5.1496     23.2042   
17.2376    22.5645   
7.4364     3.5631    
16.4770    4.0343    

# Frame17

# x        y
12.7483    14.8094   
1.0050     28.0770   
5.1496     23.2042   
17.2376    22.5645   
7.4364     3.5631    
16.4770    4.0343    

# Frame18

# x        y
13.3588    15.5123   
1.0050     28.0770   
5.1496     23.2042   
17.2376    22.5645   
7.4364     3.5631    
16.4770    4.0343    

# Frame19

# x        y
13.9590    16.2036   
1.0050     28.0770   
5.1496     23.2042   
17.2376    22.5645   
7.4364     3.5631    
16.4770    4.0343    

# Frame20

# x        y
14.5492    16.8833   
1.0050     28.0770   
5.1496     23.2042   
17.2376    22.5645   
7.4364     3.5631    
16.4770    4.0343    

# Frame21

# x        y
15.1296    17.5517   
1.0050     28.0770   
5.1496     23.2042   
17.2376    22.5645   
7.4364     3.5631    
16.4770    4.0343    

# Frame22

# x        y
15.7003    18.2089   
1.0050     28.0770   
5.1496     23.2042   
17.2376    22.5645   
7.4364     3.5631    
16.4770    4.0343    

# Frame23

# x        y
16.2616    18.8552   
1.0050     28.0770   
5.1496     23.2042   
17.2376    22.5645   
7.4364     3.5631    
16.4770    4.0343    

# Frame24

# x        y
16.8134    19.4907   
1.0050     28.0770   
5.1496     23.2042   
17.2376    22.5645   
7.4364     3.5631    
16.4770    4.0343    

# Frame25

# x        y
17.3561    20.1157   
1.0050     28.0770   
5.1496     23.2042   
17.2376    22.5645   
7.4364     3.5631    
16.4770    4.0343    

# Frame26

# x        y
17.8958    20.6961   
1.0050     28.0770   
5.1496     23.2042   
17.2315    22.5987   
7.4364     3.5631    
16.4770    4.0343    

# Frame27

# x        y
18.4692    20.9880   
1.0050     28.0770   
5.1496     23.2042   
17.1828    22.9110   
7.4364     3.5631    
16.4770    4.0343    

# Frame28

# x        y
18.9816    21.2626   
1.0050     28.0770   
5.1496     23.2042   
17.1349    23.2181   
7.4364     3.5631    
16.4770    4.0343    

# Frame29

# x        y
18.7043    21.2972   
1.0050     28.0770   
5.1496     23.2042   
17.0877    23.5200   
7.4364     3.5631    
16.4770    4.0343    

# Frame30

# x        y
18.4317    21.3311   
1.0050     28.0770   
5.1496     23.2042   
17.0414    23.8170   
7.4364     3.5631    
16.4770    4.0343    

# Frame31

# x        y
18.1636    21.3646   
1.0050     28.0770   
5.1496     23.2042   
16.9958    24.1089   
7.4364     3.5631    
16.4770    4.0343    

# Frame32

# x        y
17.9000    21.3974   
1.0050     28.0770   
5.1496     23.2042   
16.9510    24.3961   
7.4364     3.5631    
16.4770    4.0343    

# Frame33

# x        y
17.6407    21.4298   
1.0050     28.0770   
5.1496     23.2042   
16.9069    24.6784   
7.4364     3.5631    
16.4770    4.0343    

# Frame34

# x        y
17.3858    21.4615   
1.0050     28.0770   
5.1496     23.2042   
16.8636    24.9560   
7.4364     3.5631    
16.4770    4.0343    

# Frame35

# x        y
17.1352    21.4928   
1.0050     28.0770   
5.1496     23.2042   
16.8210    25.2290   
7.4364     3.5631    
16.4770    4.0343    

# Frame36

# x        y
16.8887    21.5235   
1.0050     28.0770   
5.1496     23.2042   
16.7791    25.4975   
7.4364     3.5631    
16.4770    4.0343    

# Frame37

# x        y
16.6463    21.5537   
1.0050     28.0770   
5.1496     23.2042   
16.7379    25.7614   
7.4364     3.5631    
16.4770    4.0343    

# Frame38

# x        y
16.4080    21.5834   
1.0050     28.0770   
5.1496     23.2042   
16.6974    26.0210   
7.4364     3.5631    
16.4770    4.0343    

# Frame39

# x        y
16.1736    21.6127   
1.0050     28.0770   
5.1496     23.2042   
16.6575    26.2763   
7.4364     3.5631    
16.4770    4.0343    

# Frame40

# x        y
15.9432    21.6414   
1.0050     28.0770   
