# x        y
16.5029    19.7285   
11.9064    1.4194    
1.2917     38.6362   
8.4751     23.2801   
6.5602     18.5192   
16.2357    3.9505    

# Frame1

# x        y
17.8488    18.2491   
11.9064    1.4194    
1.2917     38.6362   
8.4751     23.2801   
6.5602     18.5192   
16.2357    3.9505    

# Frame2

# x        y
18.9120    16.8559   
11.9064    1.4194    
1.2917     38.6362   
8.4751     23.2801   
6.5602     18.5192   
16.2357    3.9505    

# Frame3

# x        y
18.2613    15.9040   
11.9064    1.4194    
1.2917     38.6362   
8.4751     23.2801   
6.5602     18.5192   
16.2357    3.9505    

# Frame4

# x        y
17.6215    14.9680   
11.9064    1.4194    
1.2917     38.6362   
8.4751     23.2801   
6.5602     18.5192   
16.2357    3.9505    

# Frame5

# x        y
16.9923    14.0476   
11.9064    1.4194    
1.2917     38.6362   
8.4751     23.2801   
6.5602     18.5192   
16.2357    3.9505    

# Frame6

# x        y
16.3736    13.1425   
11.9064    1.4194    
1.2917     38.6362   
8.4751     23.2801   
6.5602     18.5192   
16.2357    3.9505    

# Frame7

# x        y
15.7652    12.2525   
11.9064    1.4194    
1.2917     38.6362   
8.4751     23.2801   
6.5602     18.5192   
16.2357    3.9505    

# Frame8

# x        y
15.1670    11.3774   
11.9064    1.4194    
1.2917     38.6362   
8.4751     23.2801   
6.5602     18.5192   
16.2357    3.9505    

# Frame9

# x        y
14.5787    10.5168   
11.9064    1.4194    
1.2917     38.6362   
8.4751     23.2801   
6.5602     18.5192   
16.2357    3.9505    

# Frame10

# x        y
14.0002    9.6706    
11.9064    1.4194    
1.2917     38.6362   
8.4751     23.2801   
6.5602     18.5192   
16.2357    3.9505    

# Frame11

# x        y
13.4314    8.8385    
11.9064    1.4194    
1.2917     38.6362   
8.4751     23.2801   
6.5602     18.5192   
16.2357    3.9505    

# Frame12

# x        y
12.8720    8.0202    
11.9064    1.4194    
1.2917     38.6362   
8.4751     23.2801   
6.5602     18.5192   
16.2357    3.9505    

# Frame13

# x        y
12.3220    7.2156    
11.9064    1.4194    
1.2917     38.6362   
8.4751     23.2801   
6.5602     18.5192   
16.2357    3.9505    

# Frame14

# x        y
11.7812    6.4244    
11.9064    1.4194    
1.2917     38.6362   
8.4751     23.2801   
6.5602     18.5192   
16.2357    3.9505    

# Frame15

# x        y
11.2493    5.6464    
11.9064    1.4194    
1.2917     38.6362   
8.4751     23.2801   
6.5602     18.5192   
16.2357    3.9505    

# Frame16

# x        y
10.7263    4.8813    
11.9064    1.4194    
1.2917     38.6362   
8.4751     23.2801   
6.5602     18.5192   
16.2357    3.9505    

# Frame17

# x        y
10.2121    4.1290    
11.9064    1.4194    
1.2917     38.6362   
8.4751     23.2801   
6.5602     18.5192   
16.2357    3.9505    

# Frame18

# x        y
9.7064     3.3893    
11.9064    1.4194    
1.2917     38.6362   
8.4751     23.2801   
6.5602     18.5192   
16.2357    3.9505    

# Frame19

# x        y
9.2091     2.6618    
11.9064    1.4194    
1.2917     38.6362   
8.4751     23.2801   
6.5602     18.5192   
16.2357    3.9505    

# Frame20

# x        y
8.7201     1.9465    
11.9064    1.4194    
1.2917     38.6362   
8.4751     23.2801   
6.5602     18.5192   
16.2357    3.9505    

# Frame21

# x        y
8.2393     1.2431    
11.9064    1.4194    
1.2917     38.6362   
8.4751     23.2801   
6.5602     18.5192   
16.2357    3.9505    

# Frame22

# x        y
7.7625     1.2266    
11.9064    1.4194    
1.2917     38.6362   
8.4751     23.2801   
6.5602     18.5192   
16.2357    3.9505    

# Frame23

# x        y
7.2914     1.5667    
11.9064    1.4194    
1.2917     38.6362   
8.4751     23.2801   
6.5602     18.5192   
16.2357    3.9505    

# Frame24

# x        y
6.8282     1.9011    
11.9064    1.4194    
1.2917     38.6362   
8.4751     23.2801   
6.5602     18.5192   
16.2357    3.9505    

# Frame25

# x        y
6.3727     2.2299    
11.9064    1.4194    
1.2917     38.6362   
8.4751     23.2801   
6.5602     18.5192   
16.2357    3.9505    

# Frame26

# x        y
5.9248     2.5532    
11.9064    1.4194    
1.2917     38.6362   
8.4751     23.2801   
6.5602     18.5192   
16.2357    3.9505    

# Frame27

# x        y
5.4843     2.8712    
11.9064    1.4194    
1.2917     38.6362   
8.4751     23.2801   
6.5602     18.5192   
16.2357    3.9505    

# Frame28

# x        y
5.0512     3.1839    
11.9064    1.4194    
1.2917     38.6362   
8.4751     23.2801   
6.5602     18.5192   
16.2357    3.9505    

# Frame29

# x        y
4.6253     3.4913    
11.9064    1.4194    
