# x        y
10.9240    9.1991    
10.0006    21.5992   
17.7517    29.8530   
15.0204    27.5255   
11.6522    11.6253   
3.5569     11.1278   

# Frame1

# x        y
10.8068    8.1500    
10.0006    21.5992   
17.7517    29.8530   
15.0204    27.5255   
11.6834    10.6762   
3.5569     11.1278   

# Frame2

# x        y
10.6479    6.7126    
10.0006    21.5992   
17.7517    29.8530   
15.0204    27.5255   
11.7578    10.1488   
3.5569     11.1278   

# Frame3

# x        y
10.4916    5.2991    
10.0006    21.5992   
17.7517    29.8530   
15.0204    27.5255   
11.8309    9.6302    
3.5569     11.1278   

# Frame4

# x        y
10.3380    3.9092    
10.0006    21.5992   
17.7517    29.8530   
15.0204    27.5255   
11.9028    9.1202    
3.5569     11.1278   

# Frame5

# x        y
10.1869    2.5424    
10.0006    21.5992   
17.7517    29.8530   
15.0204    27.5255   
11.9735    8.6187    
3.5569     11.1278   

# Frame6

# x        y
10.0383    1.1985    
10.0006    21.5992   
17.7517    29.8530   
15.0204    27.5255   
12.0431    8.1256    
3.5569     11.1278   

# Frame7

# x        y
10.1022    1.5634    
10.0006    21.5992   
17.7517    29.8530   
15.0204    27.5255   
12.1114    7.6407    
3.5569     11.1278   

# Frame8

# x        y
10.2026    2.2132    
10.0006    21.5992   
17.7517    29.8530   
15.0204    27.5255   
12.1787    7.1639    
3.5569     11.1278   

# Frame9

# x        y
10.3013    2.8521    
10.0006    21.5992   
17.7517    29.8530   
15.0204    27.5255   
12.2448    6.6950    
3.5569     11.1278   

# Frame10

# x        y
10.3983    3.4804    
10.0006    21.5992   
17.7517    29.8530   
15.0204    27.5255   
12.3098    6.2339    
3.5569     11.1278   

# Frame11

# x        y
10.4938    4.0983    
10.0006    21.5992   
17.7517    29.8530   
15.0204    27.5255   
12.3737    5.7805    
3.5569     11.1278   

# Frame12

# x        y
10.5670    4.6762    
10.0006    21.5992   
17.7517    29.8530   
15.0204    27.5255   
12.4572    5.3643    
3.5569     11.1278   

# Frame13

# x        y
10.4648    4.9407    
10.0006    21.5992   
17.7517    29.8530   
15.0204    27.5255   
12.7136    5.2588    
