# x        y
6.2653     7.5653    
4.0518     35.7858   
7.1050     12.0873   
1.0044     2.6846    
9.8290     25.8889   
7.7919     6.2815    

# Frame1

# x        y
6.2652     7.5654    
3.6147     33.8341   
7.1050     12.0873   
1.0045     2.6846    
9.8290     25.8889   
7.7919     6.2814    

# Frame2

# x        y
6.2652     7.5654    
3.1849     31.9150   
7.1050     12.0873   
1.0046     2.6846    
9.8290     25.8889   
7.7919     6.2814    

# Frame3

# x        y
6.2652     7.5654    
2.7623     30.0278   
7.1050     12.0873   
1.0047     2.6846    
9.8290     25.8889   
7.7920     6.2814    

# Frame4

# x        y
6.2652     7.5654    
2.3467     28.1721   
7.1050     12.0873   
1.0048     2.6846    
9.8290     25.8889   
7.7920     6.2814    

# Frame5

# x        y
6.2652     7.5654    
1.9381     26.3474   
7.1050     12.0873   
1.0048     2.6846    
9.8290     25.8889   
7.7920     6.2814    

# Frame6

# x        y
6.2652     7.5654    
1.5363     24.5530   
7.1050     12.0873   
1.0048     2.6846    
9.8290     25.8889   
7.7920     6.2814    

# Frame7

# x        y
6.2652     7.5654    
1.1411     22.7886   
7.1050     12.0873   
1.0049     2.6846    
9.8290     25.8889   
7.7920     6.2814    

# Frame8

# x        y
6.2652     7.5654    
1.1261     21.1577   
7.1050     12.0873   
1.0049     2.6846    
9.8290     25.8889   
7.7920     6.2814    

# Frame9

# x        y
6.2652     7.5654    
1.3171     19.6158   
7.1050     12.0873   
1.0049     2.6846    
9.8290     25.8889   
7.7920     6.2814    

# Frame10

# x        y
6.2652     7.5654    
1.5050     18.0996   
7.1050     12.0873   
1.0049     2.6846    
9.8290     25.8889   
7.7920     6.2814    

# Frame11

# x        y
6.2652     7.5654    
1.6897     16.6087   
7.1050     12.0873   
1.0049     2.6846    
9.8290     25.8889   
7.7920     6.2814    

# Frame12

# x        y
6.2652     7.5654    
1.8713     15.1426   
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
7.7920     6.2814    

# Frame13

# x        y
6.2652     7.5654    
2.0499     13.7009   
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
7.7920     6.2814    

# Frame14

# x        y
6.2652     7.5654    
2.2256     12.2833   
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
7.7920     6.2814    

# Frame15

# x        y
6.2652     7.5654    
2.3983     10.8893   
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
7.7920     6.2814    

# Frame16

# x        y
6.2652     7.5654    
2.5681     9.5185    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
7.7920     6.2814    

# Frame17

# x        y
6.2652     7.5654    
2.7351     8.1706    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
7.7920     6.2814    

# Frame18

# x        y
6.2652     7.5654    
2.8993     6.8451    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
7.7920     6.2814    

# Frame19

# x        y
6.2652     7.5654    
3.0608     5.5418    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
7.7920     6.2814    

# Frame20

# x        y
6.2652     7.5654    
3.2196     4.2601    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
7.7920     6.2814    

# Frame21

# x        y
6.2652     7.5654    
3.3758     2.9999    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
7.7920     6.2814    

# Frame22

# x        y
6.2652     7.5654    
3.5293     1.7606    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
7.7920     6.2814    

# Frame23

# x        y
6.2652     7.5654    
3.7788     1.2314    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
7.7920     6.2814    

# Frame24

# x        y
6.2652     7.5654    
4.1877     1.8305    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
7.7920     6.2814    

# Frame25

# x        y
6.2652     7.5654    
4.5899     2.4197    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
7.7920     6.2814    

# Frame26

# x        y
6.2652     7.5654    
4.9853     2.9990    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
7.7920     6.2814    

# Frame27

# x        y
6.2652     7.5654    
5.3742     3.5687    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
7.7920     6.2814    

# Frame28

# x        y
6.2652     7.5654    
5.7566     4.1289    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
7.7920     6.2814    

# Frame29

# x        y
6.2652     7.5654    
6.1326     4.6798    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
7.7920     6.2814    

# Frame30

# x        y
6.2652     7.5654    
6.3121     5.0694    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
7.9822     6.4335    

# Frame31

# x        y
6.2652     7.5654    
6.3075     5.3083    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
8.3503     6.7272    

# Frame32

# x        y
6.2652     7.5654    
6.3031     5.5432    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
8.7123     7.0161    

# Frame33

# x        y
6.2965     7.7161    
6.2673     5.6236    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
9.0682     7.3001    

# Frame34

# x        y
6.3335     7.8872    
6.2261     5.6796    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
9.4183     7.5794    

# Frame35

# x        y
6.3698     8.0555    
6.1855     5.7347    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
9.7624     7.8541    

# Frame36

# x        y
6.4055     8.2209    
6.1456     5.7889    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
10.1009    8.1241    

# Frame37

# x        y
6.4406     8.3836    
6.1064     5.8422    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
10.4337    8.3897    

# Frame38

# x        y
6.4752     8.5436    
6.0678     5.8946    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
10.7609    8.6508    

# Frame39

# x        y
6.5091     8.7010    
6.0299     5.9461    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
11.0827    8.9076    

# Frame40

# x        y
6.5425     8.8557    
5.9926     5.9967    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
11.3991    9.1602    

# Frame41

# x        y
6.5754     9.0078    
5.9559     6.0466    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
11.7103    9.4085    

# Frame42

# x        y
6.6077     9.1574    
5.9199     6.0956    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
12.0163    9.6526    

# Frame43

# x        y
6.6394     9.3045    
5.8844     6.1437    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
12.3172    9.8927    

# Frame44

# x        y
6.6707     9.4491    
5.8495     6.1911    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
12.6130    10.1288   

# Frame45

# x        y
6.7014     9.5914    
5.8152     6.2377    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
12.9039    10.3610   

# Frame46

# x        y
6.7316     9.7313    
5.7815     6.2835    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
13.1900    10.5893   

# Frame47

# x        y
6.7612     9.8688    
5.7484     6.3285    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
13.4713    10.8137   

# Frame48

# x        y
6.7904     10.0040   
5.7158     6.3728    
7.1050     12.0873   
1.0050     2.6846    
9.8290     25.8889   
13.7480    11.0345   

# Frame49

# x        y
6.8176     10.1220   
5.6837     6.4163    
7.1066     12.1023   
1.0050     2.6846    
9.8290     25.8889   
14.0200    11.2515   

# Frame50

# x        y
6.8375     10.1528   
5.6522     6.4592    
7.1149     12.2023   
1.0050     2.6846    
9.8290     25.8889   
14.2874    11.4650   

# Frame51

# x        y
6.8570     10.1831   
5.6212     6.5013    
7.1231     12.3006   
1.0050     2.6846    
9.8290     25.8889   
14.5505    11.6749   

# Frame52

# x        y
6.8762     10.2129   
5.5907     6.5427    
7.1312     12.3973   
1.0050     2.6846    
9.8290     25.8889   
14.8091    11.8813   

# Frame53

# x        y
6.8951     10.2422   
5.5607     6.5834    
7.1392     12.4923   
1.0050     2.6846    
9.8290     25.8889   
15.0634    12.0842   

# Frame54

# x        y
6.9137     10.2710   
5.5312     6.6234    
7.1470     12.5858   
1.0050     2.6846    
9.8290     25.8889   
15.3135    12.2838   

# Frame55

# x        y
6.9320     10.2993   
5.5023     6.6628    
7.1547     12.6777   
1.0050     2.6846    
9.8290     25.8889   
15.5594    12.4800   

# Frame56

# x        y
6.9499     10.3271   
5.4738     6.7015    
7.1622     12.7681   
1.0050     2.6846    
9.8290     25.8889   
15.8013    12.6730   

# Frame57

# x        y
6.9676     10.3545   
5.4457     6.7396    
7.1697     12.8569   
1.0050     2.6846    
9.8290     25.8889   
16.0391    12.8628   

# Frame58

# x        y
6.9850     10.3815   
5.4182     6.7770    
7.1770     12.9443   
1.0050     2.6846    
9.8290     25.8889   
16.2729    13.0493   

# Frame59

# x        y
7.0021     10.4080   
5.3911     6.8139    
7.1841     13.0303   
1.0050     2.6846    
9.8290     25.8889   
16.5028    13.2328   

# Frame60

# x        y
7.0189     10.4340   
5.3644     6.8501    
7.1912     13.1148   
1.0050     2.6846    
9.8290     25.8889   
16.7289    13.4133   

# Frame61

# x        y
7.0354     10.4596   
5.3382     6.8856    
7.1982     13.1978   
1.0050     2.6846    
9.8290     25.8889   
16.9512    13.5907   

# Frame62

# x        y
7.0516     10.4848   
5.3124     6.9207    
7.2050     13.2796   
1.0050     2.6846    
9.8290     25.8889   
17.1699    13.7651   

# Frame63

# x        y
7.0676     10.5095   
5.2871     6.9551    
7.2117     13.3599   
1.0050     2.6846    
9.8290     25.8889   
17.3848    13.9367   

# Frame64

# x        y
7.0833     10.5339   
5.2622     6.9889    
7.2183     13.4389   
1.0050     2.6846    
9.8290     25.8889   
17.5962    14.1054   

# Frame65

# x        y
7.0988     10.5578   
5.2377     7.0222    
7.2248     13.5166   
1.0050     2.6846    
9.8290     25.8889   
17.8041    14.2713   

# Frame66

# x        y
7.1139     10.5814   
5.2136     7.0549    
7.2312     13.5930   
1.0050     2.6846    
9.8290     25.8889   
18.0085    14.4344   

# Frame67

# x        y
7.1289     10.6045   
5.1899     7.0871    
7.2375     13.6681   
1.0050     2.6846    
9.8290     25.8889   
18.2095    14.5948   

# Frame68

# x        y
7.1436     10.6273   
5.1666     7.1187    
7.2436     13.7420   
1.0050     2.6846    
9.8290     25.8889   
18.4072    14.7525   

# Frame69

# x        y
7.1580     10.6497   
5.1437     7.1499    
7.2497     13.8146   
1.0050     2.6846    
9.8290     25.8889   
18.6015    14.9076   

# Frame70

# x        y
7.1722     10.6717   
5.1212     7.1805    
7.2557     13.8860   
1.0050     2.6846    
9.8290     25.8889   
18.7927    15.0601   

# Frame71

# x        y
7.1862     10.6933   
5.0990     7.2106    
7.2616     13.9563   
1.0050     2.6846    
9.8290     25.8889   
18.9806    15.2101   

# Frame72

# x        y
7.1999     10.7146   
5.0772     7.2401    
7.2673     14.0253   
1.0050     2.6846    
9.8290     25.8889   
18.9154    15.3107   

# Frame73

# x        y
7.2134     10.7356   
5.0558     7.2692    
7.2730     14.0933   
1.0050     2.6846    
9.8290     25.8889   
18.8246    15.4026   

# Frame74

# x        y
7.2267     10.7561   
5.0348     7.2978    
7.2786     14.1600   
1.0050     2.6846    
9.8290     25.8889   
18.7352    15.4930   

# Frame75

# x        y
7.2397     10.7764   
5.0141     7.3260    
7.2841     14.2257   
1.0050     2.6846    
9.8290     25.8889   
18.6474    15.5819   

# Frame76

# x        y
7.2526     10.7963   
4.9937     7.3536    
7.2895     14.2903   
1.0050     2.6846    
9.8290     25.8889   
18.5610    15.6693   

# Frame77

# x        y
7.2652     10.8159   
4.9737     7.3808    
7.2948     14.3538   
1.0050     2.6846    
9.8290     25.8889   
