# x        y
18.2022    22.6446   
12.5774    5.3425    
7.3122     20.8795   
7.8592     29.1679   
16.5906    23.8197   
2.8393     9.8754    

# Frame1

# x        y
18.2023    22.6445   
11.4204    6.9738    
7.3122     20.8795   
7.8592     29.1679   
16.5906    23.8198   
2.8393     9.8754    

# Frame2

# x        y
18.2023    22.6445   
10.2826    8.5779    
7.3122     20.8795   
7.8592     29.1679   
16.5905    23.8198   
2.8393     9.8754    

# Frame3

# x        y
18.2023    22.6445   
9.1637     10.1553   
7.3122     20.8795   
7.8592     29.1679   
16.5905    23.8198   
2.8393     9.8754    

# Frame4

# x        y
18.2023    22.6445   
8.0635     11.7064   
7.3122     20.8795   
7.8592     29.1679   
16.5905    23.8198   
2.8393     9.8754    

# Frame5

# x        y
18.2023    22.6445   
6.9817     13.2316   
7.3122     20.8795   
7.8592     29.1679   
16.5905    23.8198   
2.8393     9.8754    

# Frame6

# x        y
18.2023    22.6445   
5.9178     14.7314   
7.3122     20.8795   
7.8592     29.1679   
16.5905    23.8198   
2.8393     9.8754    

# Frame7

# x        y
18.2024    22.6445   
4.8718     16.2063   
7.3122     20.8795   
7.8592     29.1679   
16.5905    23.8198   
2.8393     9.8754    

# Frame8

# x        y
18.2024    22.6445   
3.8431     17.6565   
7.3122     20.8795   
7.8592     29.1679   
16.5905    23.8198   
2.8393     9.8754    

# Frame9

# x        y
18.2024    22.6445   
2.8316     19.0826   
7.3122     20.8795   
7.8592     29.1679   
16.5904    23.8198   
2.8393     9.8754    

# Frame10

# x        y
18.2024    22.6445   
1.8369     20.4849   
7.3122     20.8795   
7.8592     29.1679   
16.5904    23.8198   
2.8393     9.8754    

# Frame11

# x        y
18.2024    22.6444   
1.0729     21.8516   
7.3122     20.8795   
7.8592     29.1679   
16.5904    23.8198   
2.8393     9.8754    

# Frame12

# x        y
18.2024    22.6444   
1.5538     23.1211   
7.3122     20.8795   
7.8592     29.1679   
16.5904    23.8198   
2.8393     9.8754    

# Frame13

# x        y
18.2024    22.6444   
2.0267     24.3695   
7.3122     20.8795   
7.8592     29.1679   
16.5904    23.8198   
2.8393     9.8754    

# Frame14

# x        y
18.2024    22.6444   
2.4917     25.5971   
7.3122     20.8795   
7.8592     29.1679   
16.5904    23.8199   
2.8393     9.8754    

# Frame15

# x        y
18.2024    22.6444   
2.9489     26.8042   
7.3122     20.8795   
7.8592     29.1679   
16.5904    23.8199   
2.8393     9.8754    

# Frame16

# x        y
18.2024    22.6444   
3.3985     27.9912   
7.3122     20.8795   
7.8592     29.1679   
16.5904    23.8199   
2.8393     9.8754    

# Frame17
