# x        y
3.4999     31.1193   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
5.7890     30.3906   
3.6504     3.7039    

# Frame1

# x        y
2.6384     31.6363   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
5.2429     31.2944   
3.6504     3.7039    

# Frame2

# x        y
1.5258     32.3063   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
4.9713     32.0215   
3.6504     3.7039    

# Frame3

# x        y
1.2864     32.9957   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
4.7043     32.7364   
3.6504     3.7039    

# Frame4

# x        y
1.8244     33.7018   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
4.4417     33.4395   
3.6504     3.7039    

# Frame5

# x        y
2.2467     34.4048   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
4.2901     34.1221   
3.6504     3.7039    

# Frame6

# x        y
2.1927     35.1330   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
4.6103     34.7565   
3.6504     3.7039    

# Frame7

# x        y
2.1396     35.8490   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
4.9252     35.3804   
3.6504     3.7039    

# Frame8

# x        y
2.0874     36.5531   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
5.2348     35.9938   
3.6504     3.7039    

# Frame9

# x        y
2.0361     37.2455   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
5.5393     36.5971   
3.6504     3.7039    

# Frame10

# x        y
1.9856     37.9263   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
5.8387     37.1902   
3.6504     3.7039    

# Frame11

# x        y
1.9360     38.5958   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
6.1331     37.7735   
3.6504     3.7039    

# Frame12

# x        y
1.9539     38.8706   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
6.4226     38.3471   
3.6504     3.7039    

# Frame13

# x        y
2.0795     38.5469   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
6.7073     38.9111   
3.6504     3.7039    

# Frame14

# x        y
2.2030     38.2287   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
6.7761     38.7653   
3.6504     3.7039    

# Frame15

# x        y
2.3244     37.9157   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
6.8015     38.4926   
3.6504     3.7039    

# Frame16

# x        y
2.4437     37.6079   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
6.8264     38.2245   
3.6504     3.7039    

# Frame17

# x        y
2.5611     37.3053   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
6.8509     37.9608   
3.6504     3.7039    

# Frame18

# x        y
2.6766     37.0077   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
6.8751     37.7015   
3.6504     3.7039    

# Frame19

# x        y
2.7901     36.7151   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
6.8988     37.4466   
3.6504     3.7039    

# Frame20

# x        y
2.9017     36.4274   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
6.9221     37.1959   
3.6504     3.7039    

# Frame21

# x        y
3.0115     36.1444   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
6.9451     36.9494   
3.6504     3.7039    

# Frame22

# x        y
3.1194     35.8662   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
6.9676     36.7070   
3.6504     3.7039    

# Frame23

# x        y
3.2255     35.5926   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
6.9898     36.4686   
3.6504     3.7039    

# Frame24

# x        y
3.3299     35.3235   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
7.0116     36.2342   
3.6504     3.7039    

# Frame25

# x        y
3.4325     35.0590   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
7.0330     36.0037   
3.6504     3.7039    

# Frame26

# x        y
3.5334     34.7988   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
7.0541     35.7770   
3.6504     3.7039    

# Frame27

# x        y
3.6327     34.5430   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
7.0749     35.5542   
3.6504     3.7039    

# Frame28

# x        y
3.7303     34.2915   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
7.0953     35.3350   
3.6504     3.7039    

# Frame29

# x        y
3.8262     34.0441   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
7.1153     35.1195   
3.6504     3.7039    

# Frame30

# x        y
3.9206     33.8009   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
7.1350     34.9076   
3.6504     3.7039    

# Frame31

# x        y
4.0133     33.5617   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
7.1544     34.6992   
3.6504     3.7039    

# Frame32

# x        y
4.1046     33.3265   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
7.1735     34.4943   
3.6504     3.7039    

# Frame33

# x        y
4.1943     33.0953   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
7.1922     34.2928   
3.6504     3.7039    

# Frame34

# x        y
4.2825     32.8679   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
7.2107     34.0946   
3.6504     3.7039    

# Frame35

# x        y
4.3693     32.6442   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
7.2288     33.8998   
3.6504     3.7039    

# Frame36

# x        y
4.4546     32.4243   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
7.2466     33.7082   
3.6504     3.7039    

# Frame37

# x        y
4.5384     32.2081   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
7.2642     33.5198   
3.6504     3.7039    

# Frame38

# x        y
4.6209     31.9955   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
7.2814     33.3346   
3.6504     3.7039    

# Frame39

# x        y
4.7020     31.7864   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
7.2983     33.1524   
3.6504     3.7039    

# Frame40

# x        y
4.7818     31.5808   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
7.3150     32.9733   
3.6504     3.7039    

# Frame41

# x        y
4.8602     31.3786   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
7.3314     32.7971   
3.6504     3.7039    

# Frame42

# x        y
4.9373     31.1798   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
7.3475     32.6239   
3.6504     3.7039    

# Frame43

# x        y
5.0132     30.9843   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
7.3634     32.4536   
3.6504     3.7039    

# Frame44

# x        y
5.0877     30.7921   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
7.3789     32.2861   
3.6504     3.7039    

# Frame45

# x        y
5.1611     30.6030   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
7.3943     32.1214   
3.6504     3.7039    

# Frame46

# x        y
5.2332     30.4172   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
7.4093     31.9595   
3.6504     3.7039    

# Frame47

# x        y
5.3041     30.2344   
7.9944     22.0006   
1.1764     23.9800   
13.7180    38.8188   
7.4242     31.8002   
3.6504     3.7039    

# Frame48

# x        y
5.3738     30.0547   
7.9944     22.0006   
1.1764     23.9800   
