# x        y
5.6474     3.7245    

# Frame1

# x        y
7.5067     3.0023    

# Frame2

# x        y
6.2750     5.6182    

# Frame3

# x        y
6.3419     3.5746    

# Frame4

# x        y
7.9692     2.2550    

# Frame5

# x        y
6.2761     5.8424    

# Frame6

# x        y
7.0248     3.4273    

# Frame7

# x        y
8.4239     1.5201    

# Frame8

# x        y
6.2773     6.0628    

# Frame9

# x        y
7.6963     3.2824    

# Frame10

# x        y
8.6375     1.1340    

# Frame11

# x        y
6.2784     6.2796    

# Frame12

# x        y
7.9821     3.5144    

# Frame13

# x        y
8.4536     1.2148    

# Frame14

# x        y
6.2795     6.4928    

# Frame15

# x        y
7.5071     4.0460    

# Frame16

# x        y
8.3051     1.0456    

# Frame17

# x        y
6.2806     6.7025    

# Frame18

# x        y
7.0401     4.5687    

# Frame19

# x        y
8.0986     1.0627    

# Frame20

# x        y
6.2817     6.9086    

# Frame21

# x        y
6.5808     5.0827    

# Frame22

# x        y
7.8694     1.1445    

# Frame23

# x        y
6.2827     7.1113    

# Frame24

# x        y
6.3180     5.3854    

# Frame25

# x        y
7.6441     1.2250    

# Frame26

# x        y
6.0949     7.5134    

# Frame27

# x        y
6.1001     5.6448    

# Frame28

# x        y
7.4225     1.3041    

# Frame29

# x        y
5.8698     7.9469    

# Frame30

# x        y
5.8857     5.9000    

# Frame31

# x        y
7.2047     1.3819    

# Frame32

# x        y
5.6484     8.3733    

# Frame33

# x        y
5.6749     6.1508    

# Frame34

# x        y
6.9904     1.4584    

# Frame35

# x        y
5.4308     8.7925    

# Frame36

# x        y
5.4677     6.3975    

# Frame37

# x        y
6.7797     1.5336    

# Frame38

# x        y
5.2168     9.2047    

# Frame39

# x        y
5.2639     6.6401    

# Frame40

# x        y
6.5726     1.6075    

# Frame41

# x        y
5.0063     9.6101    

# Frame42

# x        y
5.0635     6.8787    

# Frame43

# x        y
6.3689     1.6803    

# Frame44

# x        y
4.7993     10.0087   

# Frame45

# x        y
4.8664     7.1132    

# Frame46

# x        y
6.1686     1.7518    

# Frame47

# x        y
4.5958     10.4007   

# Frame48

# x        y
4.6726     7.3439    

# Frame49

# x        y
5.9716     1.8221    

# Frame50

# x        y
4.3957     10.7861   

# Frame51

# x        y
4.4820     7.5707    

# Frame52

# x        y
5.7779     1.8913    

# Frame53

# x        y
4.1990     11.1652   

# Frame54

# x        y
4.2947     7.7937    

# Frame55

# x        y
5.5874     1.9593    

# Frame56

# x        y
4.0055     11.5379   

# Frame57

# x        y
4.1104     8.0131    

# Frame58

# x        y
5.4001     2.0261    

# Frame59

# x        y
4.1152     11.9466   

# Frame60

# x        y
3.9292     8.2287    

# Frame61

# x        y
5.2160     2.0919    

# Frame62

# x        y
4.3604     12.3730   

# Frame63

# x        y
3.7510     8.4408    

# Frame64

# x        y
5.0349     2.1566    

# Frame65

# x        y
4.6015     12.7924   

# Frame66

# x        y
3.5759     8.6493    

# Frame67

# x        y
4.8568     2.2201    

# Frame68

# x        y
4.8387     13.2048   

# Frame69

# x        y
3.4036     8.8544    

# Frame70

# x        y
4.6817     2.2827    

# Frame71

# x        y
5.0718     13.6103   

# Frame72

# x        y
3.3032     8.9587    

# Frame73

# x        y
4.5095     2.3441    

# Frame74

# x        y
5.3011     14.0091   

# Frame75

# x        y
3.3683     8.7869    

# Frame76

# x        y
4.3401     2.4046    

# Frame77

# x        y
5.3313     14.2287   

# Frame78

# x        y
3.4323     8.6180    

# Frame79

# x        y
4.1736     2.4640    

# Frame80

# x        y
5.1646     14.2592   

# Frame81

# x        y
3.4953     8.4519    

# Frame82

# x        y
4.0099     2.5225    

# Frame83

# x        y
5.0008     14.2891   

# Frame84

# x        y
3.5573     8.2886    

# Frame85

# x        y
3.8489     2.5800    

# Frame86

# x        y
4.8396     14.3186   

# Frame87

# x        y
3.6182     8.1280    

# Frame88

# x        y
3.6906     2.6365    

# Frame89

# x        y
4.6811     14.3476   

# Frame90

# x        y
3.6780     7.9700    

# Frame91

# x        y
3.5349     2.6921    

# Frame92

# x        y
4.6654     14.3300   

# Frame93

# x        y
3.7369     7.8147    

# Frame94

# x        y
3.3818     2.7467    

# Frame95

# x        y
4.7340     14.2838   

# Frame96

# x        y
3.7948     7.6620    

# Frame97

# x        y
3.2313     2.8005    

# Frame98

# x        y
4.8014     14.2384   

# Frame99

# x        y
3.8518     7.5119    

# Frame100

# x        y
3.0833     2.8533    

# Frame101

# x        y
4.8677     14.1937   

# Frame102

# x        y
3.9078     7.3642    

# Frame103

# x        y
2.9377     2.9053    

# Frame104

# x        y
4.9329     14.1498   

# Frame105

# x        y
3.9628     7.2190    

# Frame106

# x        y
2.7946     2.9564    

# Frame107

# x        y
4.9971     14.1067   

# Frame108

# x        y
4.0169     7.0762    

# Frame109

# x        y
2.6539     3.0066    

# Frame110

# x        y
5.0601     14.0642   

# Frame111

# x        y
4.0702     6.9358    

# Frame112

# x        y
2.5155     3.0561    

# Frame113

# x        y
5.1221     14.0224   

# Frame114

# x        y
4.1225     6.7978    

# Frame115

# x        y
2.3794     3.1046    

# Frame116

# x        y
5.1831     13.9814   

# Frame117

# x        y
4.1740     6.6620    

# Frame118

# x        y
2.2455     3.1524    

# Frame119

# x        y
5.2430     13.9410   

# Frame120

# x        y
4.2246     6.5285    

# Frame121

# x        y
2.1140     3.1994    

# Frame122

# x        y
5.3019     13.9013   

# Frame123

# x        y
4.2744     6.3973    

# Frame124

# x        y
1.9846     3.2456    

# Frame125

# x        y
5.3599     13.8623   

# Frame126

# x        y
4.3233     6.2682    

# Frame127

# x        y
1.8573     3.2910    

# Frame128

# x        y
5.4169     13.8239   

# Frame129

# x        y
4.3715     6.1412    

# Frame130

# x        y
1.9337     3.3240    

# Frame131

# x        y
5.4729     13.7861   

# Frame132

# x        y
4.4188     6.0164    

# Frame133

# x        y
2.0088     3.3564    

# Frame134

# x        y
5.5281     13.7490   

# Frame135

# x        y
4.4653     5.8937    

# Frame136

# x        y
2.0827     3.3883    

# Frame137

# x        y
5.5129     13.7196   

# Frame138

# x        y
4.5111     5.7730    

# Frame139

# x        y
2.1553     3.4196    

# Frame140

# x        y
5.4979     13.6907   

# Frame141

# x        y
4.5561     5.6543    

# Frame142

# x        y
2.2267     3.4504    

# Frame143

# x        y
5.4833     13.6622   

# Frame144

# x        y
4.6004     5.5376    

# Frame145

# x        y
2.2969     3.4807    

# Frame146

# x        y
5.4688     13.6343   

# Frame147

# x        y
4.6439     5.4229    

# Frame148

# x        y
2.3660     3.5105    

# Frame149

# x        y
5.4546     13.6068   

# Frame150

# x        y
4.6867     5.3100    

# Frame151

# x        y
2.4339     3.5398    

# Frame152

# x        y
5.4407     13.5797   

# Frame153

# x        y
4.7287     5.1991    

# Frame154

# x        y
2.5007     3.5687    

# Frame155

# x        y
5.4270     13.5531   

# Frame156

# x        y
4.7701     5.0899    

# Frame157

# x        y
2.5663     3.5970    

# Frame158

# x        y
5.4135     13.5270   

# Frame159

# x        y
4.8108     4.9826    

# Frame160

# x        y
2.6309     3.6248    

# Frame161

# x        y
5.4002     13.5013   

# Frame162

# x        y
4.8508     4.8771    

# Frame163

# x        y
2.6944     3.6522    

# Frame164

# x        y
5.3871     13.4760   

# Frame165

# x        y
4.8901     4.7734    

# Frame166

# x        y
2.7568     3.6792    

# Frame167

# x        y
5.3743     13.4511   

# Frame168

# x        y
4.9288     4.6714    

# Frame169

# x        y
2.8182     3.7057    

# Frame170

# x        y
5.3617     13.4267   

# Frame171

# x        y
4.9669     4.5711    

# Frame172

# x        y
2.8786     3.7317    

# Frame173

# x        y
5.3493     13.4026   

# Frame174

# x        y
5.0043     4.4724    

# Frame175

# x        y
2.9380     3.7573    

# Frame176

# x        y
5.3371     13.3790   

# Frame177

# x        y
5.0410     4.3754    

# Frame178

# x        y
2.9963     3.7825    

# Frame179

# x        y
5.3251     13.3558   

# Frame180

# x        y
5.0772     4.2800    

# Frame181

# x        y
3.0537     3.8073    

# Frame182

# x        y
5.3133     13.3329   

# Frame183

# x        y
5.1128     4.1862    

# Frame184

# x        y
3.1102     3.8317    

# Frame185

# x        y
5.3017     13.3104   

# Frame186

# x        y
5.1477     4.0940    

# Frame187

# x        y
3.1657     3.8556    

# Frame188

# x        y
5.2903     13.2883   

# Frame189

# x        y
5.2059     4.0175    

# Frame190

# x        y
3.1965     3.8650    

# Frame191

# x        y
5.2791     13.2666   

# Frame192

# x        y
5.2630     3.9423    

# Frame193

# x        y
3.2269     3.8741    

# Frame194

# x        y
5.2680     13.2452   

# Frame195

# x        y
5.3192     3.8683    

# Frame196

# x        y
3.2567     3.8832    

# Frame197

# x        y
5.2572     13.2242   

# Frame198

# x        y
5.3745     3.7956    

# Frame199

# x        y
3.2860     3.8921    

# Frame200

# x        y
5.2465     13.2035   

# Frame201

# x        y
5.4289     3.7241    

# Frame202

# x        y
3.3148     3.9008    

# Frame203

# x        y
5.2360     13.1832   

# Frame204

# x        y
5.4823     3.6538    

# Frame205

# x        y
3.3432     3.9094    

# Frame206

# x        y
5.2257     13.1632   

# Frame207

# x        y
5.5349     3.5846    

# Frame208

# x        y
3.3711     3.9178    

# Frame209

# x        y
5.2156     13.1436   

# Frame210

# x        y
5.5865     3.5166    

# Frame211

# x        y
3.3985     3.9262    

# Frame212

# x        y
5.2056     13.1242   

# Frame213

# x        y
5.6373     3.4497    

# Frame214

# x        y
3.4254     3.9343    

# Frame215

# x        y
5.1958     13.1052   

# Frame216

# x        y
5.6873     3.3840    

# Frame217

# x        y
