# x        y
9.6179     5.1941    
5.2026     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1635     33.9400   
17.5731    16.4414   

# Frame1

# x        y
10.9789    6.6596    
5.2026     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1636     33.9400   
17.5731    16.4414   

# Frame2

# x        y
12.3173    8.1007    
5.2026     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1636     33.9401   
17.5731    16.4414   

# Frame3

# x        y
13.6333    9.5177    
5.2026     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1636     33.9401   
17.5731    16.4414   

# Frame4

# x        y
14.9274    10.9111   
5.2026     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1636     33.9401   
17.5731    16.4414   

# Frame5

# x        y
16.1999    12.2814   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1636     33.9401   
17.5731    16.4414   

# Frame6

# x        y
17.4512    13.6287   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1636     33.9401   
17.5731    16.4414   

# Frame7

# x        y
18.6742    14.8012   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1636     33.9401   
17.5805    16.5939   

# Frame8

# x        y
18.5745    15.2136   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1636     33.9401   
17.6175    17.1849   

# Frame9

# x        y
17.9978    15.5035   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1636     33.9401   
17.6538    17.7660   

# Frame10

# x        y
17.4307    15.7886   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1636     33.9401   
17.6895    18.3374   

# Frame11

# x        y
16.8730    16.0690   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1636     33.9401   
17.7246    18.8993   

# Frame12

# x        y
16.3246    16.3446   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
17.7592    19.4518   

# Frame13

# x        y
15.7854    16.6157   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
17.7931    19.9952   

# Frame14

# x        y
15.2552    16.8823   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
17.8266    20.5295   

# Frame15

# x        y
14.7338    17.1444   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
17.8594    21.0548   

# Frame16

# x        y
14.2211    17.4021   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
17.8917    21.5714   

# Frame17

# x        y
13.7169    17.6556   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
17.9235    22.0794   

# Frame18

# x        y
13.2211    17.9048   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
17.9547    22.5790   

# Frame19

# x        y
12.7336    18.1499   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
17.9854    23.0702   

# Frame20

# x        y
12.2543    18.3909   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.0156    23.5532   

# Frame21

# x        y
11.7829    18.6279   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.0453    24.0282   

# Frame22

# x        y
11.3193    18.8609   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.0745    24.4953   

# Frame23

# x        y
10.8635    19.0900   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.1032    24.9545   

# Frame24

# x        y
10.4153    19.3153   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.1314    25.4062   

# Frame25

# x        y
9.9746     19.5369   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.1592    25.8503   

# Frame26

# x        y
9.5412     19.7548   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.1865    26.2869   

# Frame27

# x        y
9.1150     19.9690   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.2133    26.7164   

# Frame28

# x        y
8.6960     20.1797   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.2397    27.1386   

# Frame29

# x        y
8.2839     20.3869   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.2657    27.5538   

# Frame30

# x        y
7.8787     20.5906   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.2912    27.9621   

# Frame31

# x        y
7.4802     20.7909   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.3163    28.3636   

# Frame32

# x        y
7.0884     20.9879   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.3410    28.7584   

# Frame33

# x        y
6.7031     21.1815   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.3653    29.1467   

# Frame34

# x        y
6.3242     21.3720   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.3892    29.5284   

# Frame35

# x        y
5.9517     21.5593   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.4126    29.9038   

# Frame36

# x        y
5.5853     21.7435   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.4357    30.2729   

# Frame37

# x        y
5.2251     21.9246   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.4584    30.6359   

# Frame38

# x        y
4.8709     22.1026   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.4807    30.9928   

# Frame39

# x        y
4.5225     22.2777   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.5026    31.3438   

# Frame40

# x        y
4.1800     22.4499   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.5242    31.6890   

# Frame41

# x        y
3.8432     22.6193   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.5454    32.0283   

# Frame42

# x        y
3.5120     22.7858   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.5663    32.3621   

# Frame43

# x        y
3.1863     22.9495   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.5868    32.6902   

# Frame44

# x        y
2.8661     23.1105   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.6070    33.0129   

# Frame45

# x        y
2.5512     23.2688   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.6268    33.3302   

# Frame46

# x        y
2.2415     23.4245   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.6463    33.6423   

# Frame47

# x        y
1.9370     23.5776   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.6655    33.9491   

# Frame48

# x        y
1.6375     23.7281   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.6844    34.2508   

# Frame49

# x        y
1.3431     23.8761   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.7029    34.5475   

# Frame50

# x        y
1.0536     24.0217   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.7212    34.8392   

# Frame51

# x        y
1.1179     24.1085   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.7391    35.1261   

# Frame52

# x        y
1.2579     24.1796   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.7567    35.4082   

# Frame53

# x        y
1.3955     24.2495   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.7741    35.6856   

# Frame54

# x        y
1.5309     24.3183   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.7911    35.9583   

# Frame55

# x        y
1.6640     24.3859   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.8079    36.2266   

# Frame56

# x        y
1.7949     24.4523   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.8244    36.4903   

# Frame57

# x        y
1.9236     24.5177   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.8406    36.7497   

# Frame58

# x        y
2.0501     24.5819   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.8566    37.0047   

# Frame59

# x        y
2.1746     24.6451   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.8722    37.2555   

# Frame60

# x        y
2.2969     24.7073   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.8876    37.5021   

# Frame61

# x        y
2.4173     24.7684   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.9028    37.7446   

# Frame62

# x        y
2.5356     24.8285   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.9177    37.9831   

# Frame63

# x        y
2.6520     24.8876   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.9324    38.2175   

# Frame64

# x        y
2.7664     24.9457   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.9468    38.4481   

# Frame65

# x        y
2.8789     25.0028   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.9610    38.6748   

# Frame66

# x        y
2.9895     25.0590   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.9749    38.8978   

# Frame67

# x        y
3.0983     25.1143   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.9986    38.9396   

# Frame68

# x        y
3.2053     25.1686   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.9823    38.8572   

# Frame69

# x        y
3.3105     25.2220   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.9661    38.7761   

# Frame70

# x        y
3.4139     25.2745   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.9503    38.6964   

# Frame71

# x        y
3.5156     25.3262   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.9347    38.6180   

# Frame72

# x        y
3.6156     25.3770   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.9194    38.5410   

# Frame73

# x        y
3.7140     25.4269   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.9043    38.4652   

# Frame74

# x        y
3.8107     25.4761   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.8895    38.3906   

# Frame75

# x        y
3.9058     25.5244   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.8750    38.3174   

# Frame76

# x        y
3.9993     25.5718   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.8606    38.2453   

# Frame77

# x        y
4.0913     25.6185   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.8466    38.1744   

# Frame78

# x        y
4.1817     25.6645   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.8327    38.1048   

# Frame79

# x        y
4.2706     25.7096   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.8191    38.0362   

# Frame80

# x        y
4.3581     25.7540   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.8057    37.9689   

# Frame81

# x        y
4.4440     25.7977   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.7925    37.9026   

# Frame82

# x        y
4.5286     25.8406   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.7796    37.8374   

# Frame83

# x        y
4.6117     25.8829   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.7669    37.7734   

# Frame84

# x        y
4.6935     25.9244   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.7543    37.7104   

# Frame85

# x        y
4.7739     25.9652   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.7420    37.6484   

# Frame86

# x        y
4.8529     26.0053   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
7.1637     33.9401   
18.7299    37.5875   

# Frame87

# x        y
4.9306     26.0448   
5.2025     33.5742   
10.4079    14.2531   
6.3071     1.2495    
