# x        y
14.5948    2.5411    
17.5026    19.3084   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame1

# x        y
14.9978    1.2081    
17.5026    19.3084   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame2

# x        y
15.2813    2.1681    
17.5026    19.3084   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame3

# x        y
15.5600    3.1121    
17.5026    19.3084   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame4

# x        y
15.8341    4.0403    
17.5026    19.3084   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame5

# x        y
16.1036    4.9531    
17.5026    19.3084   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame6

# x        y
16.3687    5.8507    
17.5026    19.3084   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame7

# x        y
16.6293    6.7333    
17.5026    19.3084   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame8

# x        y
16.8856    7.6012    
17.5026    19.3084   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame9

# x        y
17.1376    8.4546    
17.5026    19.3084   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame10

# x        y
17.3854    9.2939    
17.5026    19.3084   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame11

# x        y
17.6291    10.1191   
17.5026    19.3084   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame12

# x        y
17.8687    10.9306   
17.5026    19.3084   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame13

# x        y
18.1043    11.7285   
17.5026    19.3084   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame14

# x        y
18.3360    12.5132   
17.5026    19.3084   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame15

# x        y
18.5638    13.2848   
17.5026    19.3084   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame16

# x        y
18.7878    14.0435   
17.5026    19.3084   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame17

# x        y
18.9941    14.7868   
17.5026    19.3084   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame18

# x        y
18.8857    15.3301   
17.5026    19.3084   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame19

# x        y
18.7792    15.8643   
17.5026    19.3084   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame20

# x        y
18.6745    16.3897   
17.5026    19.3084   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame21

# x        y
18.5715    16.9062   
17.5026    19.3084   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame22

# x        y
18.4702    17.4142   
17.5026    19.3084   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame23

# x        y
18.4328    17.6474   
17.4405    19.5747   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame24

# x        y
18.4179    17.7753   
17.3574    19.9379   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame25

# x        y
18.4032    17.9012   
17.2757    20.2951   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame26

# x        y
18.3889    18.0249   
17.1954    20.6463   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame27

# x        y
18.3747    18.1465   
17.1165    20.9917   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame28

# x        y
18.3608    18.2662   
17.0388    21.3313   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame29

# x        y
18.3471    18.3838   
16.9625    21.6653   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame30

# x        y
18.3337    18.4995   
16.8874    21.9936   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame31

# x        y
18.3204    18.6132   
16.8136    22.3166   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame32

# x        y
18.3074    18.7251   
16.7410    22.6341   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame33

# x        y
18.2946    18.8351   
16.6696    22.9463   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame34

# x        y
18.2821    18.9432   
16.5994    23.2534   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame35

# x        y
18.2697    19.0496   
16.5304    23.5553   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame36

# x        y
18.2575    19.1541   
16.4625    23.8522   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame37

# x        y
18.2456    19.2570   
16.3957    24.1441   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame38

# x        y
18.2338    19.3581   
16.3301    24.4312   
4.4113     8.0210    
3.0983     16.0629   
18.6969    30.8173   
1.2507     36.1303   

# Frame39

# x        y
