# x        y
10.7027    38.9953   
14.3567    6.1206    
12.1914    12.7396   
18.5640    34.9184   
9.8766     12.3284   
14.1897    14.0139   

# Frame1

# x        y
9.7792     37.6938   
14.3567    6.1206    
12.1914    12.7396   
18.5640    34.9184   
9.8766     12.3284   
14.1897    14.0139   

# Frame2

# x        y
8.8712     36.4139   
14.3567    6.1206    
12.1914    12.7396   
18.5640    34.9184   
9.8766     12.3284   
14.1897    14.0139   

# Frame3

# x        y
7.9782     35.1553   
14.3567    6.1206    
12.1914    12.7396   
18.5640    34.9184   
9.8766     12.3284   
14.1897    14.0139   

# Frame4

# x        y
7.1002     33.9177   
14.3567    6.1206    
12.1914    12.7396   
18.5640    34.9184   
9.8766     12.3284   
14.1897    14.0139   

# Frame5

# x        y
6.2368     32.7008   
14.3567    6.1206    
12.1914    12.7396   
18.5640    34.9184   
9.8766     12.3284   
14.1897    14.0139   

# Frame6

# x        y
5.3877     31.5041   
14.3567    6.1206    
12.1914    12.7396   
18.5640    34.9184   
9.8766     12.3284   
14.1897    14.0139   

# Frame7

# x        y
4.5529     30.3274   
14.3567    6.1206    
12.1914    12.7396   
18.5640    34.9184   
9.8766     12.3284   
14.1897    14.0139   

# Frame8

# x        y
3.7319     29.1703   
14.3567    6.1206    
12.1914    12.7396   
18.5640    34.9184   
9.8766     12.3284   
14.1897    14.0139   

# Frame9

# x        y
2.9246     28.0324   
14.3567    6.1206    
12.1914    12.7396   
18.5640    34.9184   
9.8766     12.3284   
14.1897    14.0139   

# Frame10

# x        y
2.1308     26.9136   
14.3567    6.1206    
12.1914    12.7396   
18.5640    34.9184   
9.8766     12.3284   
14.1897    14.0139   

# Frame11

# x        y
1.3502     25.8134   
14.3567    6.1206    
12.1914    12.7396   
18.5640    34.9184   
9.8766     12.3284   
14.1897    14.0139   

# Frame12

# x        y
1.2110     24.8116   
14.3567    6.1206    
12.1914    12.7396   
18.5640    34.9184   
9.8766     12.3284   
14.1897    14.0139   

# Frame13

# x        y
1.5884     23.8944   
14.3567    6.1206    
12.1914    12.7396   
18.5640    34.9184   
9.8766     12.3284   
14.1897    14.0139   

# Frame14

# x        y
1.9595     22.9925   
14.3567    6.1206    
12.1914    12.7396   
18.5640    34.9184   
9.8766     12.3284   
14.1897    14.0139   

# Frame15

# x        y
2.3245     22.1056   
14.3567    6.1206    
12.1914    12.7396   
18.5640    34.9184   
9.8766     12.3284   
14.1897    14.0139   

# Frame16

# x        y
2.6833     21.2334   
14.3567    6.1206    
12.1914    12.7396   
18.5640    34.9184   
9.8766     12.3284   
14.1897    14.0139   

# Frame17

# x        y
3.0361     20.3759   
14.3567    6.1206    
12.1914    12.7396   
18.5640    34.9184   
9.8766     12.3284   
14.1897    14.0139   

# Frame18

# x        y
3.3831     19.5326   
14.3567    6.1206    
12.1914    12.7396   
18.5640    34.9184   
9.8766     12.3284   
14.1897    14.0139   

# Frame19

# x        y
3.7243     18.7034   
14.3567    6.1206    
