# x        y
2.4843     37.9356   
7.6951     4.8992    
8.4489     24.2876   
3.7784     31.0726   
7.4254     2.9112    
3.1595     9.8975    

# Frame1

# x        y
4.2010     36.9094   
7.6951     4.8992    
8.4489     24.2876   
3.7784     31.0726   
7.4254     2.9112    
3.1595     9.8975    

# Frame2

# x        y
5.8891     35.9004   
7.6951     4.8992    
8.4489     24.2876   
3.7784     31.0726   
7.4254     2.9112    
3.1595     9.8975    

# Frame3

# x        y
7.5491     34.9083   
7.6951     4.8992    
8.4489     24.2876   
3.7784     31.0726   
7.4254     2.9112    
3.1595     9.8975    

# Frame4

# x        y
9.1814     33.9326   
7.6951     4.8992    
8.4489     24.2876   
3.7784     31.0726   
7.4254     2.9112    
3.1595     9.8975    

# Frame5

# x        y
10.7865    32.9732   
7.6951     4.8992    
8.4489     24.2876   
3.7784     31.0726   
7.4254     2.9112    
3.1595     9.8975    

# Frame6

# x        y
12.3648    32.0298   
7.6951     4.8992    
8.4489     24.2876   
3.7784     31.0726   
7.4254     2.9112    
3.1595     9.8975    

# Frame7

# x        y
13.9168    31.1021   
7.6951     4.8992    
8.4489     24.2876   
3.7784     31.0726   
7.4254     2.9112    
3.1595     9.8975    

# Frame8

# x        y
15.4430    30.1899   
7.6951     4.8992    
8.4489     24.2876   
3.7784     31.0726   
7.4254     2.9112    
3.1595     9.8975    

# Frame9

# x        y
16.9438    29.2929   
7.6951     4.8992    
8.4489     24.2876   
3.7784     31.0726   
7.4254     2.9112    
3.1595     9.8975    

# Frame10

# x        y
18.4195    28.4108   
7.6951     4.8992    
8.4489     24.2876   
3.7784     31.0726   
7.4254     2.9112    
3.1595     9.8975    

# Frame11

# x        y
18.5628    27.7166   
7.6951     4.8992    
8.4489     24.2876   
3.7784     31.0726   
7.4254     2.9112    
3.1595     9.8975    

# Frame12

# x        y
17.8494    27.1490   
7.6951     4.8992    
8.4489     24.2876   
3.7784     31.0726   
7.4254     2.9112    
3.1595     9.8975    

# Frame13

# x        y
17.1478    26.5910   
7.6951     4.8992    
8.4489     24.2876   
3.7784     31.0726   
7.4254     2.9112    
3.1595     9.8975    

# Frame14

# x        y
16.4579    26.0422   
7.6951     4.8992    
8.4489     24.2876   
3.7784     31.0726   
7.4254     2.9112    
3.1595     9.8975    

# Frame15

# x        y
15.7795    25.5026   
7.6951     4.8992    
8.4489     24.2876   
3.7784     31.0726   
7.4254     2.9112    
3.1595     9.8975    

# Frame16

# x        y
15.1124    24.9719   
7.6951     4.8992    
8.4489     24.2876   
3.7784     31.0726   
7.4254     2.9112    
3.1595     9.8975    

# Frame17

